"","database","category","pval","qval","genes"
"62","GO_Biological_Process_2017","ATP metabolic process (GO:0046034)",2.38599108830178e-05,0.0021473919794716,"ATP1B1,HSPA1A"
"63","GO_Biological_Process_2017","protein localization to plasma membrane (GO:0072659)",0.000176767217525636,0.00795452478865364,"MAP7,ATP1B1"
"64","GO_Biological_Process_2017","protein stabilization (GO:0050821)",0.00130647640703399,0.0147898446430399,"ATP1B1,HSPA1A"
"86","GO_Biological_Process_2017","negative regulation of macrophage cytokine production (GO:0010936)",0.00199860035007783,0.0147898446430399,"TGFB3"
"134","GO_Biological_Process_2017","cytokine secretion (GO:0050663)",0.00199860035007783,0.0147898446430399,"S100A13"
"77","GO_Biological_Process_2017","regulation of cardiac muscle contraction by calcium ion signaling (GO:0010882)",0.00239790073487026,0.0147898446430399,"ATP1B1"
"78","GO_Biological_Process_2017","negative regulation of vascular smooth muscle cell proliferation (GO:1904706)",0.00239790073487026,0.0147898446430399,"TGFB3"
"84","GO_Biological_Process_2017","positive regulation of potassium ion transmembrane transporter activity (GO:1901018)",0.00239790073487026,0.0147898446430399,"ATP1B1"
"93","GO_Biological_Process_2017","negative regulation of mitochondrial outer membrane permeabilization involved in apoptotic signaling pathway (GO:1901029)",0.00239790073487026,0.0147898446430399,"HSPA1A"
"70","GO_Biological_Process_2017","sodium ion export from cell (GO:0036376)",0.00279706132285596,0.0147898446430399,"ATP1B1"
"75","GO_Biological_Process_2017","bleb assembly (GO:0032060)",0.00279706132285596,0.0147898446430399,"MYLK"
"146","GO_Biological_Process_2017","mast cell degranulation (GO:0043303)",0.00279706132285596,0.0147898446430399,"S100A13"
"69","GO_Biological_Process_2017","cellular potassium ion homeostasis (GO:0030007)",0.00319608215571047,0.0147898446430399,"ATP1B1"
"65","GO_Biological_Process_2017","membrane repolarization (GO:0086009)",0.00359496327531779,0.0147898446430399,"ATP1B1"
"68","GO_Biological_Process_2017","membrane repolarization during cardiac muscle cell action potential (GO:0086013)",0.00359496327531779,0.0147898446430399,"ATP1B1"
"72","GO_Biological_Process_2017","potassium ion import across plasma membrane (GO:1990573)",0.00359496327531779,0.0147898446430399,"ATP1B1"
"80","GO_Biological_Process_2017","regulation of cell death (GO:0010941)",0.00359496327531779,0.0147898446430399,"HSPA1A"
"82","GO_Biological_Process_2017","mammary gland development (GO:0030879)",0.00359496327531779,0.0147898446430399,"TGFB3"
"130","GO_Biological_Process_2017","negative regulation of inclusion body assembly (GO:0090084)",0.00359496327531779,0.0147898446430399,"HSPA1A"
"150","GO_Biological_Process_2017","response to osmotic stress (GO:0006970)",0.00359496327531779,0.0147898446430399,"MAP7"
"67","GO_Biological_Process_2017","cellular sodium ion homeostasis (GO:0006883)",0.00399370472357172,0.0147898446430399,"ATP1B1"
"74","GO_Biological_Process_2017","relaxation of cardiac muscle (GO:0055119)",0.00399370472357172,0.0147898446430399,"ATP1B1"
"71","GO_Biological_Process_2017","positive regulation of SMAD protein import into nucleus (GO:0060391)",0.00439230654254943,0.0147898446430399,"TGFB3"
"109","GO_Biological_Process_2017","lung alveolus development (GO:0048286)",0.00439230654254943,0.0147898446430399,"TGFB3"
"125","GO_Biological_Process_2017","smooth muscle contraction (GO:0006939)",0.00479076877405601,0.0147898446430399,"MYLK"
"147","GO_Biological_Process_2017","regulation of protein ubiquitination (GO:0031396)",0.00479076877405601,0.0147898446430399,"HSPA1A"
"66","GO_Biological_Process_2017","negative regulation of cell proliferation (GO:0008285)",0.00502941626188844,0.0147898446430399,"TGFB3,HSPA1A"
"73","GO_Biological_Process_2017","positive regulation of collagen biosynthetic process (GO:0032967)",0.00518909146043986,0.0147898446430399,"TGFB3"
"76","GO_Biological_Process_2017","cell-cell junction organization (GO:0045216)",0.00518909146043986,0.0147898446430399,"TGFB3"
"79","GO_Biological_Process_2017","cell communication by electrical coupling involved in cardiac conduction (GO:0086064)",0.00518909146043986,0.0147898446430399,"ATP1B1"
"85","GO_Biological_Process_2017","positive regulation of wound healing (GO:0090303)",0.00518909146043986,0.0147898446430399,"MYLK"
"81","GO_Biological_Process_2017","response to progesterone (GO:0032570)",0.00558727464292617,0.0147898446430399,"TGFB3"
"83","GO_Biological_Process_2017","mRNA catabolic process (GO:0006402)",0.00558727464292617,0.0147898446430399,"HSPA1A"
"144","GO_Biological_Process_2017","negative regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway (GO:1902236)",0.00558727464292617,0.0147898446430399,"HSPA1A"
"151","GO_Biological_Process_2017","chaperone-mediated protein complex assembly (GO:0051131)",0.00598531836349322,0.0151181589427606,"HSPA1A"
"95","GO_Biological_Process_2017","negative regulation of DNA replication (GO:0008156)",0.00638322266472114,0.0151181589427606,"TGFB3"
"148","GO_Biological_Process_2017","regulation of mitotic spindle assembly (GO:1901673)",0.00638322266472114,0.0151181589427606,"HSPA1A"
"149","GO_Biological_Process_2017","face morphogenesis (GO:0060325)",0.00638322266472114,0.0151181589427606,"TGFB3"
"145","GO_Biological_Process_2017","positive regulation of calcium ion transport (GO:0051928)",0.00717861317386383,0.0165660304012242,"MYLK"
"143","GO_Biological_Process_2017","establishment or maintenance of cell polarity (GO:0007163)",0.00757609946695181,0.0170462238006416,"MAP7"
"101","GO_Biological_Process_2017","odontogenesis (GO:0042476)",0.00876772299598167,0.017933978855417,"TGFB3"
"128","GO_Biological_Process_2017","positive regulation of ATPase activity (GO:0032781)",0.00876772299598167,0.017933978855417,"ATP1B1"
"132","GO_Biological_Process_2017","negative regulation of extrinsic apoptotic signaling pathway in absence of ligand (GO:2001240)",0.00876772299598167,0.017933978855417,"HSPA1A"
"141","GO_Biological_Process_2017","potassium ion import (GO:0010107)",0.00876772299598167,0.017933978855417,"ATP1B1"
"129","GO_Biological_Process_2017","in utero embryonic development (GO:0001701)",0.00956144297750089,0.0187071710429365,"TGFB3"
"137","GO_Biological_Process_2017","positive regulation of filopodium assembly (GO:0051491)",0.00956144297750089,0.0187071710429365,"TGFB3"
"123","GO_Biological_Process_2017","positive regulation of interleukin-8 production (GO:0032757)",0.00995809438188845,0.0190686913695736,"HSPA1A"
"133","GO_Biological_Process_2017","cellular response to heat (GO:0034605)",0.0103546067844575,0.0194148877208578,"HSPA1A"
"117","GO_Biological_Process_2017","positive regulation of DNA replication (GO:0045740)",0.0107509802277094,0.0197466983774255,"TGFB3"
"122","GO_Biological_Process_2017","positive regulation of protein secretion (GO:0050714)",0.0115433104005533,0.019978806462496,"TGFB3"
"135","GO_Biological_Process_2017","response to unfolded protein (GO:0006986)",0.0115433104005533,0.019978806462496,"HSPA1A"
"139","GO_Biological_Process_2017","cell development (GO:0048468)",0.0115433104005533,0.019978806462496,"TGFB3"
"121","GO_Biological_Process_2017","positive regulation of bone mineralization (GO:0030501)",0.0119392672133225,0.0202742273433779,"TGFB3"
"136","GO_Biological_Process_2017","positive regulation of stress fiber assembly (GO:0051496)",0.0127307645014897,0.0209819590630354,"TGFB3"
"127","GO_Biological_Process_2017","cardiac muscle contraction (GO:0060048)",0.0131263050611683,0.0209819590630354,"ATP1B1"
"120","GO_Biological_Process_2017","positive regulation of epithelial to mesenchymal transition (GO:0010718)",0.0135217069517339,0.0209819590630354,"TGFB3"
"126","GO_Biological_Process_2017","regulation of MAPK cascade (GO:0043408)",0.0135217069517339,0.0209819590630354,"TGFB3"
"140","GO_Biological_Process_2017","negative regulation of protein ubiquitination (GO:0031397)",0.0135217069517339,0.0209819590630354,"HSPA1A"
"131","GO_Biological_Process_2017","negative regulation of cell death (GO:0060548)",0.01470708103434,0.0224345303913662,"HSPA1A"
"113","GO_Biological_Process_2017","microtubule cytoskeleton organization (GO:0000226)",0.0178619875768215,0.0267929813652323,"MAP7"
"124","GO_Biological_Process_2017","SMAD protein signal transduction (GO:0060395)",0.0182557286992226,0.0269346816873776,"TGFB3"
"119","GO_Biological_Process_2017","positive regulation of pathway-restricted SMAD protein phosphorylation (GO:0010862)",0.0186493316945439,0.0270716105243379,"TGFB3"
"138","GO_Biological_Process_2017","negative regulation of transforming growth factor beta receptor signaling pathway (GO:0030512)",0.0198293123350231,0.0283275890500329,"HSPA1A"
"116","GO_Biological_Process_2017","regulation of cardiac conduction (GO:1903779)",0.0210080513225956,0.0295425721724001,"ATP1B1"
"110","GO_Biological_Process_2017","positive regulation of proteasomal ubiquitin-dependent protein catabolic process (GO:0032436)",0.0217931880645415,0.0301751834739806,"HSPA1A"
"118","GO_Biological_Process_2017","negative regulation of neuron apoptotic process (GO:0043524)",0.023753619954611,0.0323912999381059,"TGFB3"
"142","GO_Biological_Process_2017","cellular calcium ion homeostasis (GO:0006874)",0.0257106131824436,0.0345366445734317,"ATP1B1"
"112","GO_Biological_Process_2017","response to hypoxia (GO:0001666)",0.0264924488051042,0.0350635351832261,"TGFB3"
"115","GO_Biological_Process_2017","regulation of gene expression (GO:0010468)",0.028834662827719,0.0374713127313139,"ATP1B1"
"98","GO_Biological_Process_2017","BMP signaling pathway (GO:0030509)",0.0292245520560225,0.0374713127313139,"TGFB3"
"111","GO_Biological_Process_2017","transforming growth factor beta receptor signaling pathway (GO:0007179)",0.0296143043198252,0.0374713127313139,"TGFB3"
"106","GO_Biological_Process_2017","regulation of cellular response to heat (GO:1900034)",0.030003919656043,0.0374713127313139,"HSPA1A"
"108","GO_Biological_Process_2017","cellular response to oxidative stress (GO:0034599)",0.0303933981042879,0.0374713127313139,"HSPA1A"
"114","GO_Biological_Process_2017","muscle contraction (GO:0006936)",0.0335043027752046,0.0407484763482218,"MYLK"
"103","GO_Biological_Process_2017","negative regulation of cell growth (GO:0030308)",0.0400859919629624,0.0479272805882258,"HSPA1A"
"105","GO_Biological_Process_2017","regulation of mRNA stability (GO:0043488)",0.0404719258300573,0.0479272805882258,"HSPA1A"
"96","GO_Biological_Process_2017","positive regulation of NF-kappaB transcription factor activity (GO:0051092)",0.047012061187711,0.0549491624271947,"HSPA1A"
"104","GO_Biological_Process_2017","platelet degranulation (GO:0002576)",0.0477789184522913,0.0551295212911054,"TGFB3"
"100","GO_Biological_Process_2017","positive regulation of cell migration (GO:0030335)",0.0561787800168331,0.0636289272277994,"MYLK"
"102","GO_Biological_Process_2017","positive regulation of I-kappaB kinase/NF-kappaB signaling (GO:0043123)",0.0565590464247106,0.0636289272277994,"S100A13"
"88","GO_Biological_Process_2017","regulation of apoptotic process (GO:0042981)",0.0603543435825764,0.0670603817584182,"TGFB3"
"107","GO_Biological_Process_2017","ion transmembrane transport (GO:0034220)",0.0648910605287043,0.0712218957022364,"ATP1B1"
"97","GO_Biological_Process_2017","leukocyte migration (GO:0050900)",0.0765223203535497,0.0829760100219213,"ATP1B1"
"91","GO_Biological_Process_2017","positive regulation of gene expression (GO:0010628)",0.0824758694343625,0.0883670029653884,"HSPA1A"
"90","GO_Biological_Process_2017","positive regulation of apoptotic process (GO:0043065)",0.0887646911665472,0.0939861435881088,"TGFB3"
"87","GO_Biological_Process_2017","negative regulation of apoptotic process (GO:0043066)",0.122148336269403,0.127829654235422,"HSPA1A"
"89","GO_Biological_Process_2017","positive regulation of transcription, DNA-templated (GO:0045893)",0.171236219313421,0.177140916531125,"TGFB3"
"94","GO_Biological_Process_2017","neutrophil degranulation (GO:0043312)",0.176314153842156,0.180321293702205,"HSPA1A"
"153","GO_Cellular_Component_2017","sodium:potassium-exchanging ATPase complex (GO:0005890)",0.00359496327531779,0.0453057860127625,"ATP1B1"
"154","GO_Cellular_Component_2017","inclusion body (GO:0016234)",0.00518909146043986,0.0453057860127625,"HSPA1A"
"152","GO_Cellular_Component_2017","perinuclear region of cytoplasm (GO:0048471)",0.00775597752226886,0.0453057860127625,"S100A13,HSPA1A"
"155","GO_Cellular_Component_2017","microtubule associated complex (GO:0005875)",0.00995809438188845,0.0453057860127625,"MAP7"
"161","GO_Cellular_Component_2017","intercalated disc (GO:0014704)",0.0111472147520225,0.0453057860127625,"ATP1B1"
"158","GO_Cellular_Component_2017","cleavage furrow (GO:0032154)",0.0119392672133225,0.0453057860127625,"MYLK"
"160","GO_Cellular_Component_2017","sarcolemma (GO:0042383)",0.0139169702175443,0.0453057860127625,"ATP1B1"
"156","GO_Cellular_Component_2017","aggresome (GO:0016235)",0.0151019286709208,0.0453057860127625,"HSPA1A"
"157","GO_Cellular_Component_2017","stress fiber (GO:0001725)",0.0151019286709208,0.0453057860127625,"MYLK"
"163","GO_Cellular_Component_2017","extracellular vesicle (GO:1903561)",0.0198293123350231,0.0535391433045623,"ATP1B1"
"159","GO_Cellular_Component_2017","platelet alpha granule lumen (GO:0031093)",0.0264924488051042,0.0650269197943466,"TGFB3"
"164","GO_Cellular_Component_2017","intracellular ribonucleoprotein complex (GO:0030529)",0.0323387385168242,0.0653642057066005,"HSPA1A"
"162","GO_Cellular_Component_2017","centriole (GO:0005814)",0.0331159179234766,0.0653642057066005,"HSPA1A"
"168","GO_Cellular_Component_2017","ubiquitin ligase complex (GO:0000151)",0.0338925511071262,0.0653642057066005,"HSPA1A"
"165","GO_Cellular_Component_2017","lamellipodium (GO:0030027)",0.0404719258300573,0.0728494664941032,"MYLK"
"172","GO_Cellular_Component_2017","receptor complex (GO:0043235)",0.047395557340801,0.0762614261532821,"IL4R"
"171","GO_Cellular_Component_2017","ficolin-1-rich granule lumen (GO:1904813)",0.0485452357161032,0.0762614261532821,"HSPA1A"
"166","GO_Cellular_Component_2017","microtubule cytoskeleton (GO:0015630)",0.0508409507688547,0.0762614261532821,"MAP7"
"169","GO_Cellular_Component_2017","blood microparticle (GO:0072562)",0.0675286180478341,0.0959617203837642,"HSPA1A"
"167","GO_Cellular_Component_2017","nuclear speck (GO:0016607)",0.104503655431198,0.141079934832118,"HSPA1A"
"170","GO_Cellular_Component_2017","focal adhesion (GO:0005925)",0.133506498702265,0.171651212617197,"HSPA1A"
"173","GO_Cellular_Component_2017","centrosome (GO:0005813)",0.149608531021201,0.183610469889655,"HSPA1A"
"174","GO_Cellular_Component_2017","intracellular membrane-bounded organelle (GO:0043231)",0.208825194084109,0.245142619142215,"TGFB3"
"1","KEGG_2016","Inflammatory bowel disease (IBD)_Homo sapiens_hsa05321",0.000287566154183394,0.0113688443653052,"IL4R,TGFB3"
