"","log2FoldChange","logCPM","LR","pvalue","padj","identifier","gene","tax_id","GeneID","LocusTag","chromosome","map_location","description","type","Symbol_autho","name","status","other"
"1",-0.816336767391683,-0.205738328400782,23.6466721533503,1.15745897663105e-06,0.00910688722813314,"ENSG00000260808","CTD-2007L18.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",-1.45330541686976,-1.80759163023584,14.3344104124545,0.00015304171932765,1,"ENSG00000138892","TTLL8",9606,164714,"RP3-355C18.2","22","22q13.33","tubulin tyrosine ligase-like family, member 8","protein-coding","TTLL8","tubulin tyrosine ligase-like family, member 8","O","protein monoglycylase TTLL8|tubulin--tyr"
"3",0.506789301397561,5.74586419016144,17.9033428285368,2.32412527410794e-05,0.174286154305354,"ENSG00000138738","PRDM5",9606,11107,"NULL","4","4q25-q26","PR domain containing 5","protein-coding","PRDM5","PR domain containing 5","O","PR domain zinc finger protein 5"
"4",-0.737318578554764,3.52302463703198,32.2967849028945,1.32332115360563e-08,0.000109385726557041,"ENSG00000260121","RP5-1142A6.9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",0,-1.97480200150664,0,1,1,"ENSG00000223407","USP9YP18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",-1.75824621048454,-0.426044762548919,81.6501733111965,1.6243756743656e-19,1.51131912742976e-15,"ENSG00000254527","ENPP7P12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",0.730048521754053,8.12614920613084,100.656578244039,1.09397744206246e-23,1.03982555868037e-19,"ENSG00000149929","HIRIP3",9606,8479,"NULL","16","16p11.2","HIRA interacting protein 3","protein-coding","HIRIP3","HIRA interacting protein 3","O","HIRA-interacting protein 3"
"8",0.961362141675243,9.306641025852,100.018142947571,1.51007409328909e-23,1.43472139603397e-19,"ENSG00000123066","MED13L",9606,23389,"NULL","12","12q24.21","mediator complex subunit 13-like","protein-coding","MED13L","mediator complex subunit 13-like","O","mediator of RNA polymerase II transcript"
"9",0.522200055470354,-0.368845332034837,3.3393824458087,0.0676399911403255,1,"ENSG00000168582","CRYGA",9606,1418,"NULL","2","2q34","crystallin, gamma A","protein-coding","CRYGA","crystallin, gamma A","O","crystallin, gamma 1|gamma-crystallin 5|g"
"10",1.20508298550682,9.18107003612943,105.425901762895,9.85137106925064e-25,9.39426745163741e-21,"ENSG00000074964","ARHGEF10L",9606,55160,"RP11-473A10.1","1","1p36.13","Rho guanine nucleotide exchange factor (GEF) 10-like","protein-coding","ARHGEF10L","Rho guanine nucleotide exchange factor (GEF) 10-like","O","rho guanine nucleotide exchange factor 1"
"11",0,-1.97480200150664,0,1,1,"ENSG00000239069","Y_RNA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",-1.13126830890352,-1.77951787225747,8.74939110529981,0.00309705446187948,1,"ENSG00000254965","C1DP5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",-1.01493832596347,-1.47582078703557,12.1195932514964,0.000498947857240593,1,"ENSG00000233766","AC098617.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",-0.635743362043164,-0.040346556261043,3.97340925825972,0.046224094571472,1,"ENSG00000117971","CHRNB4",9606,1143,"hCG_1731645","15","15q24","cholinergic receptor, nicotinic, beta 4 (neuronal)","protein-coding","CHRNB4","cholinergic receptor, nicotinic, beta 4 (neuronal)","O","acetylcholine receptor, nicotinic, beta "
