"","pert_iname","mean","n","median","sd","sRGES"
"1","BRD-K64040351",-1.158640627912,1,-1.158640627912,NA,-1.158640627912
"2","BRD-K14997413",-1.11835432934349,1,-1.11835432934349,NA,-1.11835432934349
"3","BRD-K94585132",-1.10439727412877,1,-1.10439727412877,NA,-1.10439727412877
"4","BRD-K63431240",-1.10342590398562,1,-1.10342590398562,NA,-1.10342590398562
"5","BRD-K26003427",-1.08732160950709,1,-1.08732160950709,NA,-1.08732160950709
"6","BRD-K28573311",-1.07837477924124,1,-1.07837477924124,NA,-1.07837477924124
"7","BRD-K37849751",-1.07237550950296,1,-1.07237550950296,NA,-1.07237550950296
"8","BRD-K37545156",-1.07198418619421,1,-1.07198418619421,NA,-1.07198418619421
"9","BRD-K84567604",-1.06993919641916,1,-1.06993919641916,NA,-1.06993919641916
"10","BRD-K69692345",-1.06416210030464,1,-1.06416210030464,NA,-1.06416210030464
"11","BRD-K68655663",-1.05516414529441,1,-1.05516414529441,NA,-1.05516414529441
"12","BRD-K16667431",-1.02029706962979,1,-1.02029706962979,NA,-1.02029706962979
"13","BRD-K63285694",-1.01498009621466,1,-1.01498009621466,NA,-1.01498009621466
"14","BRD-K64122011",-1.01370197760525,1,-1.01370197760525,NA,-1.01370197760525
"15","BRD-K36870972",-1.01349747862775,1,-1.01349747862775,NA,-1.01349747862775
"16","BRD-K87748349",-1.01124798987519,1,-1.01124798987519,NA,-1.01124798987519
"17","BRD-K18009761",-1.00536864427192,1,-1.00536864427192,NA,-1.00536864427192
"18","BRD-K39530782",-1.00158541318807,1,-1.00158541318807,NA,-1.00158541318807
"19","BRD-K14493775",-0.997086435682962,1,-0.997086435682962,NA,-0.997086435682962
"20","BRD-K43283393",-0.996063940795436,1,-0.996063940795436,NA,-0.996063940795436
"21","BRD-K50981189",-0.987968556537726,1,-0.987968556537726,NA,-0.987968556537726
"22","BRD-K92627732",-0.987270484762717,1,-0.987270484762717,NA,-0.987270484762717
"23","BRD-K58034811",-0.982873756746357,1,-0.982873756746357,NA,-0.982873756746357
"24","fursultiamine",-0.979498977505112,1,-0.979498977505112,NA,-0.979498977505112
"25","BRD-K44098776",-0.976125290488688,1,-0.976125290488688,NA,-0.976125290488688
"26","BRD-K82621995",-0.968780052347563,2,-0.968780052347563,0.103728722566938,-0.968780052347563
"27","BRD-K51126488",-0.964706797846519,1,-0.964706797846519,NA,-0.964706797846519
"28","BRD-K05111274",-0.956237764926316,1,-0.956237764926316,NA,-0.956237764926316
"29","BRD-K55767126",-0.952301159609342,1,-0.952301159609342,NA,-0.952301159609342
"30","BRD-K66860235",-0.951721112774945,1,-0.951721112774945,NA,-0.951721112774945
"31","BRD-K71386122",-0.95122753997744,1,-0.95122753997744,NA,-0.95122753997744
"32","BRD-K98938228",-0.951074165744312,1,-0.951074165744312,NA,-0.951074165744312
"33","BRD-K40708745",-0.947989006435476,1,-0.947989006435476,NA,-0.947989006435476
"34","BRD-K08212968",-0.945706067584802,1,-0.945706067584802,NA,-0.945706067584802
"35","BRD-K58607374",-0.943456578832246,1,-0.943456578832246,NA,-0.943456578832246
"36","BRD-K12331173",-0.943354329343494,1,-0.943354329343494,NA,-0.943354329343494
"37","BRD-M30664582",-0.942536333433473,1,-0.942536333433473,NA,-0.942536333433473
"38","BRD-K59468384",-0.940644717891551,1,-0.940644717891551,NA,-0.940644717891551
"39","BRD-K45740917",-0.940542468402798,1,-0.940542468402798,NA,-0.940542468402798
"40","BRD-K44446302",-0.934849947130773,1,-0.934849947130773,NA,-0.934849947130773
"41","BRD-K69429207",-0.934509748566397,1,-0.934509748566397,NA,-0.934509748566397
"42","BRD-K37058154",-0.934458623822021,1,-0.934458623822021,NA,-0.934458623822021
"43","BRD-K91595583",-0.93379400214513,1,-0.93379400214513,NA,-0.93379400214513
