"","X","pert_iname","sRGES","n","medRGES","sd","p","rank"
"658",658,"flumetasone",-0.570470347648262,11,-0.569570552147239,0.237286434900532,0.0074,658
"1251",1251,"clocortolone",-0.502646216768916,10,-0.462433537832311,0.152072038658208,0.022,1251
"2092",2092,"triamcinolone",-0.423841942080612,31,-0.416973415132924,0.250539447670113,0.0669,2092
"2341",2341,"mometasone",-0.400498233872467,11,-0.41079754601227,0.293207721950329,0.0897,2341
"2462",2462,"methylprednisolone",-0.391885480572597,5,-0.536564417177914,0.472117547183153,0.0975,2462
"2598",2598,"flunisolide",-0.379787321063395,20,-0.290552147239264,0.319714981132679,0.1118,2598
"2773",2773,"cortisol",-0.365521472392638,1,-0.365521472392638,NA,0.1287,2773
"2833",2833,"prednicarbate",-0.36086473853345,7,-0.280940695296523,0.368891660396057,0.1344,2833
"2882",2882,"fludroxycortide",-0.356725971370143,20,-0.349856850715746,0.339175105918785,0.1391,2882
"2937",2937,"budesonide",-0.3530163599182,28,-0.392842535787321,0.317944180284285,0.1429,2937
"2938",2938,"fluocinonide",-0.353006134969325,11,-0.372883435582822,0.354638154708791,0.1429,2938
"3161",3161,"fluticasone",-0.335486509664226,31,-0.381267893660532,0.390461080509207,0.1677,3161
"3240",3240,"desoximetasone",-0.329243353783231,10,-0.361697341513292,0.223917242781383,0.1765,3240
"3275",3275,"clobetasol",-0.326143490115883,24,-0.367300613496932,0.327100155524374,0.1793,3275
"3532",3532,"hydrocortisone",-0.305259713701431,45,-0.375378323108384,0.309574365144603,0.2056,3532
"3746",3746,"betamethasone",-0.29160572597137,25,-0.27680981595092,0.353478689543313,0.2252,3746
"3769",3769,"halcinonide",-0.290011011483404,13,-0.357546012269939,0.254506543692594,0.227,3769
"3784",3784,"fluorometholone",-0.288773006134969,12,-0.297177914110429,0.271671270581802,0.228,3784
"3910",3910,"beclometasone",-0.281265167007498,15,-0.342903885480573,0.308375679555833,0.2378,3910
"4579",4579,"dexamethasone",-0.238671591335921,98,-0.292106339468303,0.322579074824572,0.2776,4579
"4854",4854,"prednisolone",-0.220737301718897,37,-0.208997955010225,0.333981077738369,0.2924,4854
"4856",4856,"fludrocortisone",-0.220689004247286,13,-0.340204498977505,0.332432895353231,0.2924,4856
"5241",5241,"diflorasone",-0.199274028629857,8,-0.204989775051125,0.435206928614824,0.3067,5241
"5560",5560,"corticosterone",-0.181974875839907,7,-0.240204498977505,0.248457332167958,0.3204,5560
"5708",5708,"flurandrenolide",-0.17278118609407,2,-0.17278118609407,0.310346129607887,0.33,5708
"6201",6201,"prednisone",-0.142331288343558,1,-0.142331288343558,NA,0.3618,6201
"6447",6447,"diacerein",-0.126850715746421,2,-0.126850715746421,0.455122266483955,0.3801,6447
"8621",8621,"clofazimine",-0.00843899113837762,6,0.0423926380368099,0.218079434984847,0.4977,8621
"9459",9459,"bisindolylmaleimide",0.045777456995068,85,0.134887525562372,0.325232935924241,0.5298,9459
"9492",9492,"cortisone",0.0488343558282209,19,-0.00368098159509195,0.306264610892601,0.5314,9492
"10806",10806,"benzydamine",0.172678936605317,4,0.197668711656442,0.262697165224488,0.667,10806
"11085",11085,"deflazacort",0.200572597137014,1,0.200572597137014,NA,0.6927,11084.5
