"","X","pert_iname","sRGES","n","medRGES","sd","p","rank"
"1797",1797,"haloprogin",-0.565925357873211,3,-0.560276073619632,0.010750823855588,0.0175,1797
"1870",1870,"ciclopirox",-0.558045756646217,4,-0.53963445807771,0.129134619720537,0.0198,1870
"2054",2054,"trichostatin-a",-0.53819903616713,804,-0.587896216768916,0.283412894304049,0.0261,2054
"2065",2065,"miconazole",-0.537142126789366,3,-0.492459100204499,0.0983000449161057,0.0269,2065
"2482",2482,"chloroxine",-0.489679618268575,15,-0.492561349693252,0.182380318992587,0.0524,2482
"2490",2490,"hexetidine",-0.488829243353783,1,-0.488829243353783,NA,0.0529,2490
"2584",2584,"terbinafine",-0.476354805725971,3,-0.371216768916155,0.237769409029033,0.0629,2584
"2678",2678,"oxiconazole",-0.465685071574642,5,-0.491411042944785,0.165783411025908,0.0726,2678
"2943",2943,"monensin",-0.433282208588957,1,-0.433282208588957,NA,0.1006,2943
"2993",2993,"radicicol",-0.42806677595398,54,-0.444870248649579,0.283953150668405,0.1055,2993
"3064",3064,"clotrimazole",-0.421329243353783,5,-0.468225971370143,0.299325555203731,0.1136,3064
"3219",3219,"butoconazole",-0.404197341513292,5,-0.484381390593047,0.245090480474954,0.1322,3219
"3234",3234,"cerulenin",-0.402977670022511,56,-0.51771472392638,0.336795535773738,0.1333,3234
"3429",3429,"sulconazole",-0.383982224319648,13,-0.379831288343558,0.267419444710509,0.1544,3429
"3790",3790,"brefeldin-a",-0.348050070272747,68,-0.39251851040827,0.327534590092247,0.1894,3790
"3797",3797,"pentamidine",-0.347739452667121,11,-0.515056237218814,0.394033857391885,0.1897,3797
"4196",4196,"tolnaftate",-0.311758691206544,1,-0.311758691206544,NA,0.2233,4196
"4226",4226,"lawsone",-0.309348159509202,10,-0.400830777096114,0.276674366848604,0.2253,4226
"4363",4363,"wortmannin",-0.298625763677176,584,-0.368494376278119,0.371723090953778,0.2335,4363
"4698",4698,"naftifine",-0.2725,5,-0.402223926380368,0.298013817724795,0.2456,4698
"4914",4914,"sertaconazole",-0.259848816827344,7,-0.40081799591002,0.303613648664058,0.2498,4914
"4972",4972,"cycloheximide",-0.255815484855253,74,-0.427372804886798,0.392930662404905,0.2508,4972
"5119",5119,"econazole",-0.245871676891616,8,-0.199872188139059,0.381608995543147,0.2533,5119
"5144",5144,"antimycin-a",-0.244074445493157,26,-0.306492842535787,0.395683981319222,0.2537,5144
"5254",5254,"cyclosporin-a",-0.236955136285962,73,-0.297750511247444,0.328777035280327,0.2548,5254
"5362",5362,"flucytosine",-0.231032719836401,3,-0.00306748466257661,0.434984614836702,0.2557,5362
"5417",5417,"ketoconazole",-0.227399667689162,8,-0.266692229038855,0.37536519468864,0.2563,5417
"5977",5977,"sirolimus",-0.197161254333103,288,-0.197012992186683,0.349508889289722,0.261,5977
"8036",8036,"mevastatin",-0.0612523127860551,21,-0.111554192229039,0.39880604139774,0.3647,8036
"8606",8606,"bifonazole",-0.0149284253578733,1,-0.0149284253578733,NA,0.4599,8606
"8759",8759,"butenafine",-0.00190439672801632,2,-0.00190439672801632,0.102577479121515,0.4892,8759
"8797",8797,"terconazole",0.00230061349693249,4,-0.0238624744376278,0.0912369563048012,0.4987,8797
"9262",9262,"itraconazole",0.042101226993865,17,0.088241308793456,0.490615508912354,0.5894,9262
"9646",9646,"myriocin",0.0813720022308979,11,0.0110685071574643,0.226429707997523,0.6582,9646
"10023",10023,"fluconazole",0.124066973415133,4,0.202083333333333,0.512947843900634,0.704,10023
"10559",10559,"voriconazole",0.183145101319948,11,0.297699386503067,0.360332683147168,0.7318,10559
"10969",10969,"griseofulvin",0.227926891615542,6,0.387193251533742,0.372337171121063,0.7414,10969
"11687",11687,"artemether",0.324795501022495,3,0.428783231083845,0.263274008130875,0.7813,11687
