"","X","pert_iname","sRGES","n","medRGES","sd","p","rank"
"658",658,"flumetasone",-0.570470347648262,11,-0.569570552147239,0.237286434900532,0.0074,658
"1251",1251,"clocortolone",-0.502646216768916,10,-0.462433537832311,0.152072038658208,0.022,1251
"2092",2092,"triamcinolone",-0.423841942080612,31,-0.416973415132924,0.250539447670113,0.0669,2092
"2462",2462,"methylprednisolone",-0.391885480572597,5,-0.536564417177914,0.472117547183153,0.0975,2462
"2833",2833,"prednicarbate",-0.36086473853345,7,-0.280940695296523,0.368891660396057,0.1344,2833
"2882",2882,"fludroxycortide",-0.356725971370143,20,-0.349856850715746,0.339175105918785,0.1391,2882
"2937",2937,"budesonide",-0.3530163599182,28,-0.392842535787321,0.317944180284285,0.1429,2937
"2938",2938,"fluocinonide",-0.353006134969325,11,-0.372883435582822,0.354638154708791,0.1429,2938
"3124",3124,"amcinonide",-0.338892784107508,14,-0.341124744376278,0.237700068081731,0.163,3124
"3240",3240,"desoximetasone",-0.329243353783231,10,-0.361697341513292,0.223917242781383,0.1765,3240
"3275",3275,"clobetasol",-0.326143490115883,24,-0.367300613496932,0.327100155524374,0.1793,3275
"3746",3746,"betamethasone",-0.29160572597137,25,-0.27680981595092,0.353478689543313,0.2252,3746
"3784",3784,"fluorometholone",-0.288773006134969,12,-0.297177914110429,0.271671270581802,0.228,3784
"3910",3910,"beclometasone",-0.281265167007498,15,-0.342903885480573,0.308375679555833,0.2378,3910
"4579",4579,"dexamethasone",-0.238671591335921,98,-0.292106339468303,0.322579074824572,0.2776,4579
"4854",4854,"prednisolone",-0.220737301718897,37,-0.208997955010225,0.333981077738369,0.2924,4854
"5241",5241,"diflorasone",-0.199274028629857,8,-0.204989775051125,0.435206928614824,0.3067,5241
"5255",5255,"medrysone",-0.198522030117122,22,-0.176871165644172,0.34926077253374,0.3071,5255
"5350",5350,"rimexolone",-0.193337877755056,9,-0.285685071574642,0.453958526043701,0.3106,5350
"5708",5708,"flurandrenolide",-0.17278118609407,2,-0.17278118609407,0.310346129607887,0.33,5708
"6201",6201,"prednisone",-0.142331288343558,1,-0.142331288343558,NA,0.3618,6201
