"","X","pert_iname","sRGES","n","medRGES","sd","p","rank"
"937",937,"panobinostat",-0.532969305242911,73,-0.581155431294862,0.228092414642018,0.0139,937
"1457",1457,"belinostat",-0.482660943592567,25,-0.512556237218814,0.222214654855288,0.0299,1457
"1785",1785,"trichostatin-a",-0.45256798011137,804,-0.494437627811861,0.238177708053305,0.0455,1785
"2098",2098,"vorinostat",-0.423306193549206,860,-0.466073619631902,0.246081312125822,0.0673,2098
"2909",2909,"scriptaid",-0.354720445266508,44,-0.449693251533742,0.325145507317808,0.141,2909
"3707",3707,"mocetinostat",-0.294010736196319,16,-0.329079754601227,0.192506839525565,0.2224,3707
"4220",4220,"entinostat",-0.261860063188794,58,-0.250521484464597,0.245065335317497,0.2582,4220
"5125",5125,"M-344",-0.20571915473756,6,-0.196605316973415,0.461529691507928,0.3028,5125
"6041",6041,"BML-210",-0.153292433537832,6,-0.112106339468303,0.166568097616701,0.3507,6041
"7413",7413,"LBH-589",-0.0725085207907294,6,-0.144192229038855,0.395420032113775,0.4461,7413
"11203",11203,"tubacin",0.211697341513292,6,0.229488752556237,0.0939939983066257,0.7023,11203
