"","cor"
"SKBR3",0.307539170877964
"COV644",0.296750888640576
"MCF7",0.287636149154313
"BT20",0.280586392248659
"HS578T",0.269143609613527
"EFO27",0.248476878622705
"AGS",0.239479438431467
"U2OS",0.234292107107707
"OV7",0.233780317368273
"MDAMB231",0.225811314372079
"HCC15",0.206187129835965
"VCAP",0.201295701242605
"PC3",0.196826242983097
"T3M10",0.191777850790453
"JHUEM2",0.18489640148805
"A549",0.180900507306422
"SKLU1",0.176721287002015
"SKMEL28",0.174805085015801
"MDST8",0.17119236703059
"SNGM",0.166956072616086
"A375",0.166023232931981
"HEC108",0.165200849401605
"SW948",0.16016130961324
"SNUC4",0.157455754766119
"SNUC5",0.157239999520322
"HT29",0.155870662363585
"HEPG2",0.155585762749448
"DV90",0.153949552357023
"SKMEL1",0.149653107915186
"A673",0.146389961160167
"HCT116",0.135190449708687
"CL34",0.126322445250087
"HT115",0.117203970622136
"RMGI",0.116341449626922
"NCIH508",0.115063825826801
"LOVO",0.114469929148226
"U266B1",0.110254812848332
"WSUDLCL2",0.0932024190067879
"NCIH1299",0.0839846185281826
"NCIH1694",0.0706541145608044
"TYKNU",0.062565794959357
"SW620",0.0606650394965897
"PL21",0.0603658665143733
"NCIH716",0.0596909396268825
"HL60",0.0364240641380264
"THP1",0.0347232549389453
"NOMO1",0.0203059779022552
"JURKAT",0.00493522209383807
"SKM1",0.00305624951841523
"RKO",0.00236036831954395
"U937",-0.0230691934368652
