"","log2FoldChange","logCPM","LR","pvalue","padj"
"ENSG00000000003",0.235585320264993,5.80975574001158,1.97297209228844,0.16013274422073,1
"ENSG00000000005",-2.60673833101949,1.04132543588641,58.8741942067356,1.68082246294309e-14,1.92000349941989e-10
"ENSG00000000419",0.279826322070731,4.75481400129846,17.7939932084884,2.46159152436966e-05,0.162588120184616
"ENSG00000000457",0.54003373228176,5.23007932601348,34.2762007686056,4.7819393087359e-09,4.2893995599361e-05
"ENSG00000000460",0.780764414704601,3.5827391476516,62.0899404446532,3.28123311399735e-15,3.82854279741211e-11
"ENSG00000000938",-1.13321064443742,3.38224100387779,49.0028956115804,2.5558492201449e-12,2.69463183279877e-08
"ENSG00000000971",-1.38520487691736,6.26984297456391,87.7071544938647,7.58993554248761e-21,1.01879704786811e-16
"ENSG00000001036",0.637843344060315,5.6279258085393,42.783640260853,6.11413514344503e-11,6.06338782175444e-07
"ENSG00000001084",0.309630502737144,5.25274305573942,6.24075673033542,0.0124843122172598,1
"ENSG00000001167",0.476585843360844,5.41576882186548,30.1280607810555,4.04436666738904e-08,0.000342355638394482
"ENSG00000001460",0.323190816437098,3.37094541007355,16.2225737540044,5.63190109501816e-05,0.355823511183247
"ENSG00000001461",0.700586086839777,5.45151608515743,36.3217817927714,1.67283778102776e-09,1.53984717743605e-05
"ENSG00000001497",0.172204923358617,5.62052682228357,6.49023521841184,0.0108468624371704,1
"ENSG00000001561",0.420739280288511,4.97808484107508,5.22256562110721,0.0222956335634194,1
"ENSG00000001617",1.14101492788067,6.6652541216224,101.600718916594,6.79206385570942e-24,9.58563971956271e-20
"ENSG00000001626",-0.847894213996073,-0.416603314978104,6.69125521663949,0.00968869642703056,1
"ENSG00000001629",0.31744054714598,5.96885369574921,13.3774170865809,0.000254672209062077,1
"ENSG00000001630",1.49178870051793,6.11612922108379,183.80012365789,7.17374390108486e-42,1.18668071611746e-37
"ENSG00000001631",-0.383056717832708,5.12950556620876,28.2355041905801,1.07416059306487e-07,0.000882208095084182
"ENSG00000002016",-1.13706070707812,3.07236363261704,166.891792377471,3.53236801446636e-38,5.73691889229482e-34
"ENSG00000002330",1.15068037732576,5.38900099991878,88.9760630038118,3.99618831946061e-21,5.39405499360794e-17
"ENSG00000002549",0.529909395644807,6.71397849050003,28.8193552300502,7.94531197902637e-08,0.000658904722420657
"ENSG00000002586",0.37970022886472,7.45941535708663,10.2139869613765,0.00139379532204662,1
"ENSG00000002587",-0.797118266904747,2.16092315386865,36.8038025439996,1.30635204470508e-09,1.20902881737455e-05
"ENSG00000002822",0.756347940929378,4.52095907684147,61.5695549403226,4.27376011559302e-15,4.96824613437689e-11
"ENSG00000002834",1.54895629888052,8.42954306954337,191.378507135617,1.59015071729709e-43,2.65141730602116e-39
"ENSG00000002919",0.71622358584964,4.62763054930581,93.3995329507771,4.27351578249054e-22,5.86112689568578e-18
"ENSG00000002933",-0.344578980264714,5.41256436952185,3.33029807088559,0.0680145472922719,1
"ENSG00000003056",0.517339918231588,6.97595450624267,75.67030881174,3.35210432993886e-18,4.24510492343457e-14
"ENSG00000003096",-1.72462254801627,3.64383639784043,64.9857301713219,7.54424169882054e-16,8.96557683487833e-12
"ENSG00000003137",-2.00444389784485,2.97721306668786,83.8663436963059,5.29381348929948e-20,6.97936370429244e-16
"ENSG00000003147",1.00041731537783,5.79985113547028,104.908385683949,1.27915451804528e-24,1.82459312649453e-20
