"","empirical"
"1","ENSG00000000003"
"2","ENSG00000000419"
"3","ENSG00000001036"
"4","ENSG00000001084"
"5","ENSG00000001460"
"6","ENSG00000001497"
"7","ENSG00000001561"
"8","ENSG00000001626"
"9","ENSG00000001631"
"10","ENSG00000002330"
"11","ENSG00000002586"
"12","ENSG00000002587"
"13","ENSG00000002822"
"14","ENSG00000002933"
"15","ENSG00000003393"
"16","ENSG00000003987"
"17","ENSG00000004399"
"18","ENSG00000004468"
"19","ENSG00000004660"
"20","ENSG00000004700"
"21","ENSG00000004766"
"22","ENSG00000004864"
"23","ENSG00000004897"
"24","ENSG00000005001"
"25","ENSG00000005007"
"26","ENSG00000005020"
"27","ENSG00000005073"
"28","ENSG00000005100"
"29","ENSG00000005194"
"30","ENSG00000005238"
"31","ENSG00000005243"
"32","ENSG00000005249"
"33","ENSG00000005339"
"34","ENSG00000005436"
"35","ENSG00000005448"
"36","ENSG00000005483"
"37","ENSG00000005801"
"38","ENSG00000005810"
"39","ENSG00000005812"
"40","ENSG00000005882"
"41","ENSG00000005884"
"42","ENSG00000005889"
"43","ENSG00000006042"
"44","ENSG00000006071"
"45","ENSG00000006128"
"46","ENSG00000006282"
"47","ENSG00000006453"
"48","ENSG00000006468"
"49","ENSG00000006530"
"50","ENSG00000006534"
"51","ENSG00000006555"
"52","ENSG00000006607"
"53","ENSG00000006638"
"54","ENSG00000006695"
"55","ENSG00000006740"
"56","ENSG00000006744"
"57","ENSG00000006831"
"58","ENSG00000006837"
"59","ENSG00000007038"
"60","ENSG00000007047"
"61","ENSG00000007062"
"62","ENSG00000007080"
"63","ENSG00000007129"
"64","ENSG00000007168"
"65","ENSG00000007171"
"66","ENSG00000007174"
"67","ENSG00000007216"
"68","ENSG00000007237"
"69","ENSG00000007264"
"70","ENSG00000007312"
"71","ENSG00000007341"
"72","ENSG00000007372"
"73","ENSG00000007376"
"74","ENSG00000007516"
"75","ENSG00000007520"
"76","ENSG00000007545"
"77","ENSG00000007908"
"78","ENSG00000007923"
"79","ENSG00000007944"
"80","ENSG00000008018"
"81","ENSG00000008086"
"82","ENSG00000008130"
"83","ENSG00000008277"
"84","ENSG00000008300"
"85","ENSG00000008323"
"86","ENSG00000008394"
"87","ENSG00000008405"
"88","ENSG00000008441"
"89","ENSG00000008516"
"90","ENSG00000008838"
"91","ENSG00000008853"
"92","ENSG00000008869"
"93","ENSG00000008988"
"94","ENSG00000009780"
"95","ENSG00000009790"
"96","ENSG00000010219"
"97","ENSG00000010270"
"98","ENSG00000010361"
"99","ENSG00000010404"
"100","ENSG00000010704"
"101","ENSG00000010818"
"102","ENSG00000011028"
"103","ENSG00000011114"
"104","ENSG00000011143"
"105","ENSG00000011198"
"106","ENSG00000011258"
"107","ENSG00000011275"
"108","ENSG00000011295"
"109","ENSG00000011304"
"110","ENSG00000011405"
"111","ENSG00000011451"
"112","ENSG00000011454"
"113","ENSG00000011478"
"114","ENSG00000011485"
"115","ENSG00000011566"
"116","ENSG00000011638"
"117","ENSG00000012061"
"118","ENSG00000012171"
"119","ENSG00000012211"
"120","ENSG00000012223"
"121","ENSG00000012779"
"122","ENSG00000013016"
"123","ENSG00000013374"
"124","ENSG00000013375"
"125","ENSG00000013392"
"126","ENSG00000013523"
"127","ENSG00000013563"
"128","ENSG00000014123"
"129","ENSG00000014138"
"130","ENSG00000014164"
"131","ENSG00000014257"
"132","ENSG00000014641"
"133","ENSG00000015285"
"134","ENSG00000015475"
"135","ENSG00000015520"
"136","ENSG00000016391"
"137","ENSG00000016402"
"138","ENSG00000017483"
"139","ENSG00000018236"
"140","ENSG00000018408"
"141","ENSG00000018510"
"142","ENSG00000018610"
"143","ENSG00000018869"
"144","ENSG00000019102"
"145","ENSG00000019995"
"146","ENSG00000020633"
"147","ENSG00000021300"
"148","ENSG00000021645"
"149","ENSG00000021826"
"150","ENSG00000022556"
"151","ENSG00000022567"
"152","ENSG00000023041"
"153","ENSG00000023191"
"154","ENSG00000023287"
"155","ENSG00000023318"
"156","ENSG00000023445"
"157","ENSG00000023516"
"158","ENSG00000023608"
"159","ENSG00000023892"
"160","ENSG00000023902"
"161","ENSG00000023909"
"162","ENSG00000024048"
"163","ENSG00000024862"
"164","ENSG00000025156"
"165","ENSG00000025708"
"166","ENSG00000025770"
"167","ENSG00000025800"
"168","ENSG00000026559"
"169","ENSG00000026751"
"170","ENSG00000026950"
"171","ENSG00000027075"
"172","ENSG00000027847"
"173","ENSG00000027869"
"174","ENSG00000028277"
"175","ENSG00000028528"
"176","ENSG00000028839"
"177","ENSG00000029363"
"178","ENSG00000029534"
"179","ENSG00000029639"
"180","ENSG00000030066"
"181","ENSG00000030419"
"182","ENSG00000031003"
"183","ENSG00000031081"
"184","ENSG00000031691"
"185","ENSG00000031698"
"186","ENSG00000031823"
"187","ENSG00000032444"
"188","ENSG00000033178"
"189","ENSG00000033327"
"190","ENSG00000033627"
"191","ENSG00000033800"
"192","ENSG00000033867"
"193","ENSG00000034053"
"194","ENSG00000034152"
"195","ENSG00000034677"
"196","ENSG00000034693"
"197","ENSG00000034713"
"198","ENSG00000035115"
"199","ENSG00000035141"
"200","ENSG00000035403"
"201","ENSG00000035681"
"202","ENSG00000035720"
"203","ENSG00000035862"
"204","ENSG00000035928"
"205","ENSG00000036054"
"206","ENSG00000036549"
"207","ENSG00000037474"
"208","ENSG00000037637"
"209","ENSG00000037965"
"210","ENSG00000038210"
"211","ENSG00000038219"
"212","ENSG00000038274"
"213","ENSG00000038295"
"214","ENSG00000038382"
"215","ENSG00000038532"
"216","ENSG00000039319"
"217","ENSG00000039537"
"218","ENSG00000039650"
"219","ENSG00000040199"
"220","ENSG00000040275"
"221","ENSG00000040487"
"222","ENSG00000040531"
"223","ENSG00000041515"
"224","ENSG00000041802"
"225","ENSG00000041880"
"226","ENSG00000041988"
"227","ENSG00000042317"
"228","ENSG00000042429"
"229","ENSG00000042445"
"230","ENSG00000042980"
"231","ENSG00000043039"
"232","ENSG00000043143"
"233","ENSG00000043355"
"234","ENSG00000043462"
"235","ENSG00000043591"
"236","ENSG00000044090"
"237","ENSG00000044524"
"238","ENSG00000046647"
"239","ENSG00000047056"
"240","ENSG00000047188"
"241","ENSG00000047346"
"242","ENSG00000047365"
"243","ENSG00000047457"
"244","ENSG00000047579"
"245","ENSG00000047597"
"246","ENSG00000047849"
"247","ENSG00000047932"
"248","ENSG00000048028"
"249","ENSG00000048052"
"250","ENSG00000048162"
"251","ENSG00000048342"
"252","ENSG00000048405"
"253","ENSG00000048462"
"254","ENSG00000048471"
"255","ENSG00000048540"
"256","ENSG00000048707"
"257","ENSG00000049089"
"258","ENSG00000049192"
"259","ENSG00000049239"
"260","ENSG00000049245"
"261","ENSG00000049246"
"262","ENSG00000049323"
"263","ENSG00000049449"
"264","ENSG00000049540"
"265","ENSG00000049618"
"266","ENSG00000049759"
"267","ENSG00000049769"
"268","ENSG00000049883"
"269","ENSG00000050030"
"270","ENSG00000050165"
"271","ENSG00000050327"
"272","ENSG00000050405"
"273","ENSG00000050628"
"274","ENSG00000050820"
"275","ENSG00000051108"
"276","ENSG00000051128"
"277","ENSG00000051523"
"278","ENSG00000052126"
"279","ENSG00000052795"
"280","ENSG00000052841"
"281","ENSG00000053501"
"282","ENSG00000053918"
"283","ENSG00000054148"
"284","ENSG00000054219"
"285","ENSG00000054267"
"286","ENSG00000054356"
"287","ENSG00000054523"
"288","ENSG00000054611"
"289","ENSG00000054803"
"290","ENSG00000054938"
"291","ENSG00000054967"
"292","ENSG00000055044"
"293","ENSG00000055130"
"294","ENSG00000055208"
"295","ENSG00000055211"
"296","ENSG00000055609"
"297","ENSG00000055950"
"298","ENSG00000056050"
"299","ENSG00000056097"
"300","ENSG00000056487"
"301","ENSG00000056586"
"302","ENSG00000056736"
"303","ENSG00000056972"
"304","ENSG00000057019"
"305","ENSG00000057252"
"306","ENSG00000057294"
"307","ENSG00000057657"
"308","ENSG00000057663"
"309","ENSG00000057757"
"310","ENSG00000058056"
"311","ENSG00000058063"
"312","ENSG00000058085"
"313","ENSG00000058091"
"314","ENSG00000058404"
"315","ENSG00000058600"
"316","ENSG00000058668"
"317","ENSG00000058673"
"318","ENSG00000059378"
"319","ENSG00000059588"
"320","ENSG00000059728"
"321","ENSG00000059758"
"322","ENSG00000059769"
"323","ENSG00000059915"
"324","ENSG00000060069"
"325","ENSG00000060140"
"326","ENSG00000060237"
"327","ENSG00000060339"
"328","ENSG00000060491"
"329","ENSG00000060558"
"330","ENSG00000060656"
"331","ENSG00000060749"
"332","ENSG00000060762"
"333","ENSG00000060971"
"334","ENSG00000060982"
"335","ENSG00000061337"
"336","ENSG00000061455"
"337","ENSG00000061656"
"338","ENSG00000061676"
"339","ENSG00000061918"
"340","ENSG00000061938"
"341","ENSG00000062038"
"342","ENSG00000062370"
"343","ENSG00000062485"
"344","ENSG00000062582"
"345","ENSG00000062598"
"346","ENSG00000062716"
"347","ENSG00000062725"
"348","ENSG00000062822"
"349","ENSG00000063046"
"350","ENSG00000063176"
"351","ENSG00000063177"
"352","ENSG00000063180"
"353","ENSG00000063244"
"354","ENSG00000063245"
"355","ENSG00000063438"
"356","ENSG00000063587"
"357","ENSG00000063601"
"358","ENSG00000063660"
"359","ENSG00000063761"
"360","ENSG00000064012"
"361","ENSG00000064042"
"362","ENSG00000064309"
"363","ENSG00000064313"
"364","ENSG00000064393"
"365","ENSG00000064545"
"366","ENSG00000064601"
"367","ENSG00000064666"
"368","ENSG00000064692"
"369","ENSG00000064703"
"370","ENSG00000064763"
"371","ENSG00000064886"
"372","ENSG00000064961"
"373","ENSG00000064989"
"374","ENSG00000064995"
"375","ENSG00000065000"
"376","ENSG00000065054"
"377","ENSG00000065150"
"378","ENSG00000065243"
"379","ENSG00000065268"
"380","ENSG00000065308"
"381","ENSG00000065320"
"382","ENSG00000065413"
"383","ENSG00000065427"
"384","ENSG00000065457"
"385","ENSG00000065485"
"386","ENSG00000065491"
"387","ENSG00000065613"
"388","ENSG00000065615"
"389","ENSG00000065621"
"390","ENSG00000065675"
"391","ENSG00000065833"
"392","ENSG00000065882"
"393","ENSG00000065883"
"394","ENSG00000065978"
"395","ENSG00000065989"
"396","ENSG00000066117"
"397","ENSG00000066136"
"398","ENSG00000066248"
"399","ENSG00000066322"
"400","ENSG00000066336"
"401","ENSG00000066379"
"402","ENSG00000066382"
"403","ENSG00000066422"
"404","ENSG00000066468"
"405","ENSG00000066557"
"406","ENSG00000066629"
"407","ENSG00000066697"
"408","ENSG00000066827"
"409","ENSG00000066933"
"410","ENSG00000067057"
"411","ENSG00000067064"
"412","ENSG00000067066"
"413","ENSG00000067177"
"414","ENSG00000067208"
"415","ENSG00000067221"
"416","ENSG00000067369"
"417","ENSG00000067601"
"418","ENSG00000067798"
"419","ENSG00000067829"
"420","ENSG00000067900"
"421","ENSG00000067955"
"422","ENSG00000068001"
"423","ENSG00000068120"
"424","ENSG00000068137"
"425","ENSG00000068305"
"426","ENSG00000068308"
"427","ENSG00000068354"
"428","ENSG00000068366"
"429","ENSG00000068878"
"430","ENSG00000069020"
"431","ENSG00000069188"
"432","ENSG00000069345"
"433","ENSG00000069399"
"434","ENSG00000069424"
"435","ENSG00000069482"
"436","ENSG00000069535"
"437","ENSG00000069696"
"438","ENSG00000069849"
"439","ENSG00000069869"
"440","ENSG00000069966"
"441","ENSG00000069974"
"442","ENSG00000069998"
"443","ENSG00000070010"
"444","ENSG00000070018"
"445","ENSG00000070047"
"446","ENSG00000070061"
"447","ENSG00000070159"
"448","ENSG00000070190"
"449","ENSG00000070193"
"450","ENSG00000070269"
"451","ENSG00000070366"
"452","ENSG00000070526"
"453","ENSG00000070540"
"454","ENSG00000070601"
"455","ENSG00000070718"
"456","ENSG00000070759"
"457","ENSG00000070761"
"458","ENSG00000070770"
"459","ENSG00000070785"
"460","ENSG00000070814"
"461","ENSG00000070882"
"462","ENSG00000070950"
"463","ENSG00000070961"
"464","ENSG00000071054"
"465","ENSG00000071082"
"466","ENSG00000071127"
"467","ENSG00000071189"
"468","ENSG00000071246"
"469","ENSG00000071282"
"470","ENSG00000071462"
"471","ENSG00000071564"
"472","ENSG00000071575"
"473","ENSG00000071655"
"474","ENSG00000071859"
"475","ENSG00000071889"
"476","ENSG00000071967"
"477","ENSG00000071994"
"478","ENSG00000072121"
"479","ENSG00000072133"
"480","ENSG00000072134"
"481","ENSG00000072135"
"482","ENSG00000072201"
"483","ENSG00000072210"
"484","ENSG00000072310"
"485","ENSG00000072364"
"486","ENSG00000072401"
"487","ENSG00000072422"
"488","ENSG00000072694"
"489","ENSG00000072736"
"490","ENSG00000072786"
"491","ENSG00000072818"
"492","ENSG00000072832"
"493","ENSG00000072840"
"494","ENSG00000072849"
"495","ENSG00000072954"
"496","ENSG00000072958"
"497","ENSG00000073008"
"498","ENSG00000073150"
"499","ENSG00000073464"
"500","ENSG00000073536"
"501","ENSG00000073578"
"502","ENSG00000073614"
"503","ENSG00000073711"
"504","ENSG00000073737"
"505","ENSG00000073756"
"506","ENSG00000073849"
"507","ENSG00000073861"
"508","ENSG00000073910"
"509","ENSG00000073921"
"510","ENSG00000074054"
"511","ENSG00000074181"
"512","ENSG00000074219"
"513","ENSG00000074527"
"514","ENSG00000074590"
"515","ENSG00000074603"
"516","ENSG00000074621"
"517","ENSG00000074657"
"518","ENSG00000074706"
"519","ENSG00000074800"
"520","ENSG00000075035"
"521","ENSG00000075073"
"522","ENSG00000075239"
"523","ENSG00000075240"
"524","ENSG00000075292"
"525","ENSG00000075303"
"526","ENSG00000075336"
"527","ENSG00000075340"
"528","ENSG00000075415"
"529","ENSG00000075420"
"530","ENSG00000075426"
"531","ENSG00000075539"
"532","ENSG00000075568"
"533","ENSG00000075618"
"534","ENSG00000075624"
"535","ENSG00000075643"
"536","ENSG00000075711"
"537","ENSG00000075856"
"538","ENSG00000075884"
"539","ENSG00000075914"
"540","ENSG00000075975"
"541","ENSG00000076043"
"542","ENSG00000076053"
"543","ENSG00000076108"
"544","ENSG00000076201"
"545","ENSG00000076258"
"546","ENSG00000076321"
"547","ENSG00000076344"
"548","ENSG00000076356"
"549","ENSG00000076604"
"550","ENSG00000076641"
"551","ENSG00000076650"
"552","ENSG00000076770"
"553","ENSG00000076826"
"554","ENSG00000076864"
"555","ENSG00000076924"
"556","ENSG00000077044"
"557","ENSG00000077092"
"558","ENSG00000077150"
"559","ENSG00000077254"
"560","ENSG00000077279"
"561","ENSG00000077312"
"562","ENSG00000077420"
"563","ENSG00000077463"
"564","ENSG00000077514"
"565","ENSG00000077522"
"566","ENSG00000077713"
"567","ENSG00000077943"
"568","ENSG00000077984"
"569","ENSG00000078043"
"570","ENSG00000078053"
"571","ENSG00000078061"
"572","ENSG00000078124"
"573","ENSG00000078142"
"574","ENSG00000078177"
"575","ENSG00000078269"
"576","ENSG00000078295"
"577","ENSG00000078487"
"578","ENSG00000078589"
"579","ENSG00000078618"
"580","ENSG00000078687"
"581","ENSG00000078699"
"582","ENSG00000078747"
"583","ENSG00000078808"
"584","ENSG00000078900"
"585","ENSG00000079150"
"586","ENSG00000079257"
"587","ENSG00000079263"
"588","ENSG00000079335"
"589","ENSG00000079385"
"590","ENSG00000079459"
"591","ENSG00000079482"
"592","ENSG00000079689"
"593","ENSG00000079739"
"594","ENSG00000079805"
"595","ENSG00000079950"
"596","ENSG00000080189"
"597","ENSG00000080200"
"598","ENSG00000080298"
"599","ENSG00000080345"
"600","ENSG00000080371"
"601","ENSG00000080493"
"602","ENSG00000080503"
"603","ENSG00000080561"
"604","ENSG00000080603"
"605","ENSG00000080608"
"606","ENSG00000080709"
"607","ENSG00000080802"
"608","ENSG00000080823"
"609","ENSG00000080839"
"610","ENSG00000080845"
"611","ENSG00000080854"
"612","ENSG00000081014"
"613","ENSG00000081019"
"614","ENSG00000081051"
"615","ENSG00000081059"
"616","ENSG00000081087"
"617","ENSG00000081154"
"618","ENSG00000081181"
"619","ENSG00000081189"
"620","ENSG00000081237"
"621","ENSG00000081307"
"622","ENSG00000081320"
"623","ENSG00000081386"
"624","ENSG00000081665"
"625","ENSG00000081721"
"626","ENSG00000081760"
"627","ENSG00000081842"
"628","ENSG00000081853"
"629","ENSG00000081985"
"630","ENSG00000082068"
"631","ENSG00000082146"
"632","ENSG00000082212"
"633","ENSG00000082397"
"634","ENSG00000082438"
"635","ENSG00000082482"
"636","ENSG00000082512"
"637","ENSG00000082641"
"638","ENSG00000082684"
"639","ENSG00000082898"
"640","ENSG00000082996"
"641","ENSG00000083123"
"642","ENSG00000083168"
"643","ENSG00000083223"
"644","ENSG00000083290"
"645","ENSG00000083312"
"646","ENSG00000083454"
"647","ENSG00000083457"
"648","ENSG00000083520"
"649","ENSG00000083535"
"650","ENSG00000083544"
"651","ENSG00000083635"
"652","ENSG00000083642"
"653","ENSG00000083720"
"654","ENSG00000083750"
"655","ENSG00000083799"
"656","ENSG00000083807"
"657","ENSG00000083812"
"658","ENSG00000083814"
"659","ENSG00000083828"
"660","ENSG00000083838"
"661","ENSG00000083845"
"662","ENSG00000083857"
"663","ENSG00000084070"
"664","ENSG00000084072"
"665","ENSG00000084112"
"666","ENSG00000084207"
"667","ENSG00000084234"
"668","ENSG00000084676"
"669","ENSG00000084693"
"670","ENSG00000084731"
"671","ENSG00000084774"
"672","ENSG00000085063"
"673","ENSG00000085117"
"674","ENSG00000085185"
"675","ENSG00000085224"
"676","ENSG00000085265"
