"","database","category","pval","qval","Combined Score","genes"
"222","GO_Biological_Process_2017","anaphase-promoting complex-dependent catabolic process (GO:0031145)",6.87938976975909e-11,6.24648591094125e-08,61.7287638141609,"CDC20,CCNB1,PSMD4,UBE2C,PLK1,CDK1,PSME1,BUB1B,PSME2,PSMB10,AURKB,AURKA"
"224","GO_Biological_Process_2017","positive regulation of ubiquitin-protein ligase activity involved in regulation of mitotic cell cycle transition (GO:0051437)",1.1673881936027e-08,5.29994239895625e-06,46.7761286922567,"CDC20,CCNB1,PSMD4,UBE2C,PLK1,CDK1,PSME1,BUB1B,PSME2,PSMB10"
"227","GO_Biological_Process_2017","negative regulation of ubiquitin-protein ligase activity involved in mitotic cell cycle (GO:0051436)",8.98891013420197e-08,2.72064346728513e-05,41.9318711594125,"CDC20,CCNB1,PSMD4,UBE2C,CDK1,PSME1,BUB1B,PSME2,PSMB10"
"225","GO_Biological_Process_2017","regulation of mRNA stability (GO:0043488)",1.96003134132764e-07,4.44927114481375e-05,43.7164315673946,"HSPA8,EXOSC4,PSMD4,MAPKAPK2,PRKCD,PSME1,HSPB1,PSME2,PSMB10,HSPA1A"
"223","GO_Biological_Process_2017","apoptotic process (GO:0006915)",2.48518704369563e-07,4.51309967135127e-05,55.0726583749584,"STAT1,BAD,PRKCD,BRCA1,MELK,IL1B,BCL2,PAK6,BAX,PMAIP1,VDAC1,PAK4,IER3"
"231","GO_Biological_Process_2017","DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest (GO:0006977)",3.70005170543558e-07,5.51814269716302e-05,39.09126059468,"MUC1,CCNB1,PCNA,CDK1,BAX,SFN,SOX4,AURKA"
"229","GO_Biological_Process_2017","mitotic cell cycle (GO:0000278)",4.25407476653537e-07,5.51814269716302e-05,39.8082397823757,"CENPE,PAK1,PLK1,CLTC,PAK6,BUB1B,KIF2C,AURKA,PAK4"
"232","GO_Biological_Process_2017","DNA replication (GO:0006260)",2.51463778696109e-06,0.000285411388820084,35.4422652565456,"CDC45,ORC1,RFC2,RPA3,POLE2,CHEK1,CDK1,BRCA1,CDC25A"
"237","GO_Biological_Process_2017","regulation of ubiquitin-protein ligase activity involved in mitotic cell cycle (GO:0051439)",4.30910661419977e-06,0.000434740978410377,29.674474006227,"CDC20,CCNB1,UBE2C,PLK1,CDK1"
"234","GO_Biological_Process_2017","G1/S transition of mitotic cell cycle (GO:0000082)",5.05846013076507e-06,0.000459308179873468,32.2083384015143,"CDK7,CDC45,CCNE2,CCND1,ORC1,RPA3,POLE2,CDC25A"
