"","target","p","padj"
"PSMB2","PSMB2",0.000117647058823529,0.0778823529411765
"PSMB5","PSMB5",0.000117647058823529,0.0778823529411765
"PSMB1","PSMB1",0.000411764705882353,0.271764705882353
"HDAC3","HDAC3",0.000941176470588235,0.620235294117647
"","",0.979117647058824,1
"ABCB1","ABCB1",0.921470588235294,1
"ABCB11","ABCB11",0.715529411764706,1
"ABCC1","ABCC1",0.893823529411765,1
"ABCC2","ABCC2",0.598647058823529,1
"ABCC4","ABCC4",0.797058823529412,1
"ABCC8","ABCC8",0.971,1
"ABCC9","ABCC9",0.975705882352941,1
"ABCG2","ABCG2",0.722352941176471,1
"ABL1","ABL1",0.979529411764706,1
"ABL2","ABL2",0.755176470588235,1
"ACE","ACE",0.995823529411765,1
"ACE2","ACE2",0.867352941176471,1
"ACHE","ACHE",0.992470588235294,1
"ACVR1","ACVR1",0.562647058823529,1
"ACVR1B","ACVR1B",0.162588235294118,1
"ACVRL1","ACVRL1",0.162588235294118,1
"ADCY1","ADCY1",0.939705882352941,1
"ADORA1","ADORA1",0.838647058823529,1
"ADORA2A","ADORA2A",0.739705882352941,1
"ADORA2B","ADORA2B",0.972,1
"ADORA3","ADORA3",0.985470588235294,1
"ADRA1A","ADRA1A",1,1
"ADRA1B","ADRA1B",0.999882352941176,1
"ADRA1D","ADRA1D",1,1
"ADRA2A","ADRA2A",0.999882352941176,1
"ADRA2B","ADRA2B",0.999882352941176,1
"ADRA2C","ADRA2C",0.999470588235294,1
"ADRB1","ADRB1",0.999588235294118,1
"ADRB2","ADRB2",0.993764705882353,1
"ADRB3","ADRB3",0.974588235294118,1
"AGTR1","AGTR1",0.943,1
"AGTR2","AGTR2",0.831705882352941,1
"AKR1B1","AKR1B1",0.772058823529412,1
"AKR1C1","AKR1C1",0.653529411764706,1
"AKR1C3","AKR1C3",0.798588235294118,1
"AKT1","AKT1",0.642941176470588,1
"AKT2","AKT2",0.358117647058824,1
"AKT3","AKT3",0.532058823529412,1
"ALK","ALK",0.829470588235294,1
"ALOX12","ALOX12",0.0258235294117647,1
"ALOX15","ALOX15",1,1
"ALOX5","ALOX5",0.721235294117647,1
"ALPI","ALPI",0.854588235294118,1
"ALPL","ALPL",0.998823529411765,1
"ALPPL2","ALPPL2",1,1
"AMY1A","AMY1A",0.506647058823529,1
"AMY1B","AMY1B",0.506647058823529,1
"AMY1C","AMY1C",0.506647058823529,1
"AMY2A","AMY2A",0.506647058823529,1
"AOX1","AOX1",0.913647058823529,1
"APAF1","APAF1",0.412529411764706,1
"APEX1","APEX1",0.999,1
"APOBEC3G","APOBEC3G",0.264823529411765,1
"AR","AR",0.981529411764706,1
"ATG4B","ATG4B",0.140588235294118,1
"ATM","ATM",0.173647058823529,1
"ATP1A1","ATP1A1",0.0198235294117647,1
"ATP1A2","ATP1A2",0.0198235294117647,1
"ATP1A3","ATP1A3",0.0198235294117647,1
"ATP1A4","ATP1A4",0.0198235294117647,1
"ATP1B1","ATP1B1",0.0198235294117647,1
"ATP1B2","ATP1B2",0.0198235294117647,1
"ATP1B3","ATP1B3",0.0198235294117647,1
"ATP4A","ATP4A",0.530176470588235,1
"ATP4B","ATP4B",0.530176470588235,1
"AURKA","AURKA",0.956117647058824,1
"AURKB","AURKB",0.973352941176471,1
"AURKC","AURKC",0.992058823529412,1
"AVPR1A","AVPR1A",0.969529411764706,1
"AVPR2","AVPR2",0.568764705882353,1
"AXL","AXL",0.896470588235294,1
"BACE1","BACE1",0.489705882352941,1
"BCHE","BCHE",0.851529411764706,1
"BCL2","BCL2",0.413764705882353,1
"BCL2L1","BCL2L1",0.599058823529412,1
"BCR","BCR",0.844294117647059,1
"BDKRB2","BDKRB2",0.685823529411765,1
"BLK","BLK",0.881529411764706,1
"BMPR1A","BMPR1A",0.162588235294118,1
"BMX","BMX",0.829235294117647,1
"BRAF","BRAF",0.261764705882353,1
"BRSK1","BRSK1",0.876588235294118,1
"BTK","BTK",0.842117647058824,1
"CA1","CA1",0.998705882352941,1
"CA12","CA12",0.999176470588235,1
"CA13","CA13",0.958117647058824,1
"CA14","CA14",0.994,1
"CA2","CA2",0.999352941176471,1
"CA3","CA3",0.939941176470588,1
"CA4","CA4",0.992411764705882,1
"CA5A","CA5A",0.978470588235294,1
"CA5B","CA5B",0.984176470588235,1
"CA6","CA6",0.985058823529412,1
"CA7","CA7",0.993294117647059,1
"CA9","CA9",0.997823529411765,1
"CACNA1B","CACNA1B",0.818411764705882,1
"CACNA1C","CACNA1C",0.962764705882353,1
"CACNA1D","CACNA1D",0.932176470588235,1
"CACNA1S","CACNA1S",0.951176470588235,1
"CAMK2A","CAMK2A",0.803294117647059,1
"CAMK2B","CAMK2B",0.791823529411765,1
"CAMK2D","CAMK2D",0.872470588235294,1
"CAMK2G","CAMK2G",0.859705882352941,1
"CAMKK2","CAMKK2",0.706529411764706,1
