"","target","p","padj"
"ACE","ACE",0,0
"ADRA1D","ADRA1D",0,0
"ALOX15","ALOX15",0,0
"GBA","GBA",0,0
"ADRB1","ADRB1",0.001,0.658
"ALPL","ALPL",0.001,0.658
"ALPPL2","ALPPL2",0.001,0.658
"CA2","CA2",0.001,0.658
"HRH1","HRH1",0.001,0.658
"HTR3A","HTR3A",0.001,0.658
"CA1","CA1",0.002,1
"FNTA","FNTA",0.002,1
"HTR1F","HTR1F",0.003,1
"ADRA1A","ADRA1A",0.004,1
"ADRA1B","ADRA1B",0.004,1
"ATP4A","ATP4A",0.004,1
"ATP4B","ATP4B",0.004,1
"CA12","CA12",0.004,1
"HTR2C","HTR2C",0.004,1
"DRD2","DRD2",0.005,1
"GABRB2","GABRB2",0.006,1
"PGGT1B","PGGT1B",0.006,1
"CA7","CA7",0.007,1
"ADRA2B","ADRA2B",0.008,1
"CA9","CA9",0.008,1
"HTR1A","HTR1A",0.009,1
"MTNR1A","MTNR1A",0.009,1
"MTNR1B","MTNR1B",0.009,1
"HSD17B3","HSD17B3",0.01,1
"CA14","CA14",0.011,1
"HTR2A","HTR2A",0.011,1
"CA4","CA4",0.012,1
"SLC22A1","SLC22A1",0.013,1
"ADRA2A","ADRA2A",0.014,1
"ADRB2","ADRB2",0.016,1
"HTR2B","HTR2B",0.016,1
"SIGMAR1","SIGMAR1",0.016,1
"CA13","CA13",0.017,1
"KCNH2","KCNH2",0.018,1
"PDE11A","PDE11A",0.018,1
"PDE6A","PDE6A",0.018,1
"PDE6B","PDE6B",0.018,1
"PDE6C","PDE6C",0.018,1
"PDE6D","PDE6D",0.018,1
"PDE6G","PDE6G",0.018,1
"PDE6H","PDE6H",0.018,1
"CYP19A1","CYP19A1",0.019,1
"HTR1D","HTR1D",0.019,1
"PDE4D","PDE4D",0.022,1
"DRD3","DRD3",0.024,1
"LTA4H","LTA4H",0.024,1
"HCRTR1","HCRTR1",0.025,1
"FNTB","FNTB",0.026,1
"HTR5A","HTR5A",0.026,1
"NOS2","NOS2",0.029,1
"ABCC8","ABCC8",0.03,1
"GABRG2","GABRG2",0.031,1
"CA5B","CA5B",0.032,1
"CA3","CA3",0.033,1
"CA6","CA6",0.034,1
"MAOB","MAOB",0.035,1
"PKM2","PKM2",0.039,1
"GABRA2","GABRA2",0.041,1
"TSHR","TSHR",0.041,1
"SLC22A2","SLC22A2",0.042,1
"AR","AR",0.043,1
"PDE4B","PDE4B",0.043,1
"PDE4C","PDE4C",0.043,1
"PTGS1","PTGS1",0.044,1
"GRM5","GRM5",0.046,1
"GABRB3","GABRB3",0.047,1
"HTR3B","HTR3B",0.047,1
"HTR3C","HTR3C",0.047,1
"HTR3D","HTR3D",0.047,1
"HTR3E","HTR3E",0.047,1
"ACE2","ACE2",0.049,1
"CA5A","CA5A",0.05,1
"ADRA2C","ADRA2C",0.052,1
"HTR1B","HTR1B",0.053,1
"ALPI","ALPI",0.054,1
"KDM4DL","KDM4DL",0.057,1
"GABRA1","GABRA1",0.062,1
"ADORA2B","ADORA2B",0.063,1
"THRA","THRA",0.064,1
"THRB","THRB",0.064,1
"DHFR","DHFR",0.065,1
"DHFRP1","DHFRP1",0.065,1
"ABCC9","ABCC9",0.066,1
"GUCY1A3","GUCY1A3",0.066,1
"KCNJ11","KCNJ11",0.066,1
"CYSLTR2","CYSLTR2",0.067,1
"SLC47A1","SLC47A1",0.067,1
"CYP2D6","CYP2D6",0.068,1
"PPARG","PPARG",0.068,1
"PGR","PGR",0.072,1
"ITGB3","ITGB3",0.074,1
"HTR7","HTR7",0.075,1
"DPP4","DPP4",0.08,1
"PDE7A","PDE7A",0.08,1
"SIRT2","SIRT2",0.08,1
"CXCR4","CXCR4",0.082,1
"CYSLTR1","CYSLTR1",0.082,1
"CACNA1C","CACNA1C",0.084,1
"ADRB3","ADRB3",0.085,1
"NISCH","NISCH",0.087,1
"NTSR1","NTSR1",0.087,1
"PABPC1","PABPC1",0.087,1
"REN","REN",0.088,1
"EBP","EBP",0.089,1
"NR1H4","NR1H4",0.091,1
"EDNRB","EDNRB",0.095,1
"GPBAR1","GPBAR1",0.098,1
"HTR6","HTR6",0.101,1
"MMP13","MMP13",0.105,1
"PTGS2","PTGS2",0.106,1
"SLC6A4","SLC6A4",0.107,1
"CACNA1D","CACNA1D",0.109,1
"NR1I2","NR1I2",0.111,1
"GPER","GPER",0.112,1
"HRH4","HRH4",0.112,1
"PLAU","PLAU",0.113,1
"PPME1","PPME1",0.113,1
"GRM1","GRM1",0.118,1
"DRD5","DRD5",0.121,1
"DRD5P1","DRD5P1",0.121,1
"EDNRA","EDNRA",0.121,1
"SCNN1A","SCNN1A",0.122,1
"SIRT1","SIRT1",0.122,1
"CACNA1S","CACNA1S",0.123,1
"SCN2A","SCN2A",0.125,1
"SLC22A6","SLC22A6",0.125,1
"CYP11B1","CYP11B1",0.128,1
"CYP11B2","CYP11B2",0.128,1
"NR3C2","NR3C2",0.128,1
"PARP1","PARP1",0.128,1
"SCN5A","SCN5A",0.129,1
"SHBG","SHBG",0.13,1
"CYP2B6","CYP2B6",0.132,1
"CYP2B7P1","CYP2B7P1",0.132,1
"FAAH","FAAH",0.137,1
"BCHE","BCHE",0.144,1
"CYP1A2","CYP1A2",0.145,1
"GRIN2B","GRIN2B",0.145,1
"MAOA","MAOA",0.147,1
"TACR3","TACR3",0.15,1
"PPARD","PPARD",0.156,1
"MMP1","MMP1",0.159,1
"SLC6A2","SLC6A2",0.159,1
"CYP2C9","CYP2C9",0.163,1
"CXCR1","CXCR1",0.164,1
"PDE10A","PDE10A",0.164,1
"CTSL1","CTSL1",0.165,1
"CXCR2","CXCR2",0.167,1
"RORC","RORC",0.169,1
"HTR4","HTR4",0.17,1
"CYP2C8","CYP2C8",0.173,1
"SMO","SMO",0.175,1
"GABRB1","GABRB1",0.176,1
"GABRA3","GABRA3",0.177,1
"SCN1A","SCN1A",0.178,1
"SCN3A","SCN3A",0.178,1
"SCN9A","SCN9A",0.179,1
"TRPM8","TRPM8",0.185,1
"CLK1","CLK1",0.189,1
"CCR2","CCR2",0.191,1
"GABRA4","GABRA4",0.191,1
"PDE5A","PDE5A",0.195,1
"ADORA3","ADORA3",0.196,1
"HRH2","HRH2",0.2,1
"HSD17B1","HSD17B1",0.2,1
"DRD1","DRD1",0.201,1
"CCKBR","CCKBR",0.204,1
"DRD4","DRD4",0.205,1
"TRPV1","TRPV1",0.207,1
"GRIN2C","GRIN2C",0.209,1
"GRIN2D","GRIN2D",0.209,1
"GRIN3A","GRIN3A",0.209,1
"GRIN3B","GRIN3B",0.209,1
"PRCP","PRCP",0.211,1
"AGTR1","AGTR1",0.213,1
"ABCC1","ABCC1",0.214,1
"NR3C1","NR3C1",0.216,1
"SCN4A","SCN4A",0.218,1
"GABRA6","GABRA6",0.219,1
"GABRD","GABRD",0.219,1
"GABRE","GABRE",0.219,1
"GABRG1","GABRG1",0.219,1
"GABRG3","GABRG3",0.219,1
"GABRP","GABRP",0.219,1
"GABRQ","GABRQ",0.219,1
"CLK3","CLK3",0.22,1
"CYP1A1","CYP1A1",0.222,1
"CYP1B1","CYP1B1",0.222,1
"ESRRB","ESRRB",0.222,1
"G6PD","G6PD",0.225,1
"AKR1C1","AKR1C1",0.229,1
"ESR1","ESR1",0.23,1
"XDH","XDH",0.23,1
"PDE3B","PDE3B",0.231,1
"APOBEC3G","APOBEC3G",0.233,1
"TYMS","TYMS",0.241,1
"CHRM2","CHRM2",0.242,1
"TAAR1","TAAR1",0.242,1
"OXER1","OXER1",0.247,1
"RARA","RARA",0.247,1
"RARB","RARB",0.247,1
"ESRRA","ESRRA",0.249,1
"SLC22A11","SLC22A11",0.25,1
"PDE2A","PDE2A",0.251,1
"","",0.252,1
"PARP2","PARP2",0.253,1
"MMP3","MMP3",0.254,1
"MMP14","MMP14",0.256,1
"CTSC","CTSC",0.257,1
"CTSS","CTSS",0.257,1
"CTSZ","CTSZ",0.257,1
"HRH3","HRH3",0.26,1
"NOX1","NOX1",0.263,1
"CHRM1","CHRM1",0.265,1
"CHRNA7","CHRNA7",0.269,1
"ADCY1","ADCY1",0.27,1
"PDE3A","PDE3A",0.27,1
"NQO2","NQO2",0.272,1
"SLC22A8","SLC22A8",0.272,1
"CACNA1B","CACNA1B",0.277,1
"RXRA","RXRA",0.281,1
"GPR17","GPR17",0.282,1
"HCAR2","HCAR2",0.283,1
"EPHX2","EPHX2",0.284,1
"AKR1B1","AKR1B1",0.286,1
"CHRM3","CHRM3",0.287,1
"CHRM5","CHRM5",0.288,1
"TNKS","TNKS",0.29,1
"DYRK1A","DYRK1A",0.294,1
"NPY2R","NPY2R",0.302,1
"ACHE","ACHE",0.305,1
"OPRK1","OPRK1",0.308,1
"ESRRG","ESRRG",0.315,1
"NR1H3","NR1H3",0.32,1
"ALOX5","ALOX5",0.327,1
"ABCC4","ABCC4",0.33,1
"CHRNA1","CHRNA1",0.33,1
"CHRNB1","CHRNB1",0.33,1
"CHRND","CHRND",0.33,1
"CHRNG","CHRNG",0.33,1
"ESR2","ESR2",0.333,1
"IL8","IL8",0.334,1
"GRIN1","GRIN1",0.335,1
"S1PR4","S1PR4",0.336,1
"HPGD","HPGD",0.338,1
"BACE1","BACE1",0.343,1
"CHRNB4","CHRNB4",0.344,1
"NOD1","NOD1",0.35,1
"TBXA2R","TBXA2R",0.352,1
"PPARA","PPARA",0.362,1
"PRNP","PRNP",0.362,1
"SLCO4C1","SLCO4C1",0.365,1
"TNKS2","TNKS2",0.365,1
"SGK2","SGK2",0.374,1
"CCR4","CCR4",0.377,1
"CTDSP1","CTDSP1",0.379,1
"NOD2","NOD2",0.379,1
"PDE4A","PDE4A",0.38,1
"CYP2C19","CYP2C19",0.381,1
"PDE1A","PDE1A",0.382,1
"PDE1B","PDE1B",0.382,1
"PDE1C","PDE1C",0.382,1
"EBPL","EBPL",0.388,1
"CTSK","CTSK",0.392,1
"PTPN1","PTPN1",0.392,1
"CASP3","CASP3",0.395,1
"GABRA5","GABRA5",0.395,1
"SLCO2B1","SLCO2B1",0.396,1
"DYRK1B","DYRK1B",0.397,1
"NR1H2","NR1H2",0.397,1
"SENP7","SENP7",0.397,1
"MARK2","MARK2",0.401,1
"ADORA1","ADORA1",0.402,1
"CCKAR","CCKAR",0.402,1
"BCL2L1","BCL2L1",0.403,1
"ABCB11","ABCB11",0.406,1
"IGF1R","IGF1R",0.411,1
"CLK2","CLK2",0.412,1
"GRIN2A","GRIN2A",0.423,1
"SLC22A3","SLC22A3",0.433,1
"NCOR2","NCOR2",0.434,1
"RORA","RORA",0.439,1
"SLC47A2","SLC47A2",0.442,1
"CNR2","CNR2",0.444,1
"CSNK2A1","CSNK2A1",0.444,1
"SLC6A3","SLC6A3",0.444,1
"S1PR2","S1PR2",0.454,1
"AVPR1A","AVPR1A",0.457,1
"PIM1","PIM1",0.457,1
"HMGCR","HMGCR",0.464,1
"MMP9","MMP9",0.464,1
"RARG","RARG",0.464,1
"AURKC","AURKC",0.466,1
"KCNA3","KCNA3",0.473,1
"CTSB","CTSB",0.474,1
"TOP2B","TOP2B",0.474,1
"ZAK","ZAK",0.475,1
"DYRK2","DYRK2",0.478,1
"AMY1A","AMY1A",0.479,1
"AMY1B","AMY1B",0.479,1
"AMY1C","AMY1C",0.479,1
"AMY2A","AMY2A",0.479,1
"AGTR2","AGTR2",0.484,1
"PHOSPHO1","PHOSPHO1",0.484,1
"PDPK1","PDPK1",0.485,1
"HSD17B2","HSD17B2",0.488,1
"F2","F2",0.489,1
"GLO1","GLO1",0.491,1
"RPS6KA5","RPS6KA5",0.492,1
"SOAT1","SOAT1",0.492,1
"KCNA5","KCNA5",0.493,1
"PCSK7","PCSK7",0.494,1
"PLA2G1B","PLA2G1B",0.495,1
"NOX4","NOX4",0.496,1
"BDKRB2","BDKRB2",0.499,1
"CDC25A","CDC25A",0.501,1
"PKN1","PKN1",0.504,1
"CNR1","CNR1",0.507,1
"MKNK1","MKNK1",0.507,1
"SSTR4","SSTR4",0.507,1
"AKR1C3","AKR1C3",0.508,1
"PRKACB","PRKACB",0.514,1
"PRKACG","PRKACG",0.514,1
"BCL2","BCL2",0.516,1
"GPR35","GPR35",0.521,1
"ATM","ATM",0.524,1
"PTGER3","PTGER3",0.527,1
"MYLK","MYLK",0.535,1
"CYP3A4","CYP3A4",0.536,1
"ABCC2","ABCC2",0.537,1
"AVPR2","AVPR2",0.538,1
"FFAR1","FFAR1",0.539,1
"CAMK2A","CAMK2A",0.54,1
"CHRM4","CHRM4",0.54,1
"CHRNA3","CHRNA3",0.542,1
"TNF","TNF",0.542,1
"IKBKB","IKBKB",0.552,1
"ABCB1","ABCB1",0.558,1
"CLK4","CLK4",0.558,1
"MMP8","MMP8",0.558,1
"MC5R","MC5R",0.559,1
"TBK1","TBK1",0.559,1
"BRSK1","BRSK1",0.565,1
"TSSK1B","TSSK1B",0.566,1
"OPRM1","OPRM1",0.573,1
"SLC29A1","SLC29A1",0.573,1
"MMP2","MMP2",0.575,1
"IDO1","IDO1",0.577,1
"PTK2B","PTK2B",0.577,1
"ADORA2A","ADORA2A",0.581,1
"RPS6KB1","RPS6KB1",0.581,1
"PTK2","PTK2",0.584,1
"CAMK2B","CAMK2B",0.586,1
"NPSR1","NPSR1",0.591,1
"ODC1","ODC1",0.591,1
"FKBP1B","FKBP1B",0.592,1
"PPIA","PPIA",0.592,1
"PPIB","PPIB",0.592,1
"PPID","PPID",0.592,1
"PPP3CA","PPP3CA",0.592,1
"SLC10A2","SLC10A2",0.592,1
"PLK4","PLK4",0.593,1
"CAMK2D","CAMK2D",0.598,1
"MARK4","MARK4",0.605,1
"TLR9","TLR9",0.606,1
"CAMKK2","CAMKK2",0.61,1
"PRKX","PRKX",0.61,1
"AOX1","AOX1",0.613,1
"PTGER4","PTGER4",0.616,1
"CASP1","CASP1",0.617,1
"STK17A","STK17A",0.617,1
"MARK3","MARK3",0.621,1
"MAP3K10","MAP3K10",0.622,1
"CYP17A1","CYP17A1",0.623,1
"FABP2","FABP2",0.623,1
"MCL1","MCL1",0.623,1
"CSNK1G1","CSNK1G1",0.624,1
"CAMK2G","CAMK2G",0.626,1
"CCNB2","CCNB2",0.627,1
"CCNB3","CCNB3",0.627,1
"NEK4","NEK4",0.629,1
"PRKCZ","PRKCZ",0.637,1
"CHRNA4","CHRNA4",0.638,1
"CHRNB2","CHRNB2",0.638,1
"JAK1","JAK1",0.639,1
"PRKG1","PRKG1",0.639,1
"TOP2A","TOP2A",0.642,1
"TNK2","TNK2",0.646,1
"PTPN12","PTPN12",0.647,1
"TYK2","TYK2",0.65,1
"DYRK3","DYRK3",0.652,1
"SLCO1B1","SLCO1B1",0.653,1
"MMP12","MMP12",0.655,1
"APEX1","APEX1",0.657,1
"PRKACA","PRKACA",0.66,1
"INSR","INSR",0.661,1
"CDK5R1","CDK5R1",0.668,1
"CSK","CSK",0.671,1
"ROCK2","ROCK2",0.671,1
"FES","FES",0.676,1
"MC3R","MC3R",0.677,1
"ROCK1","ROCK1",0.677,1
"ITK","ITK",0.686,1
"HSP90AB1","HSP90AB1",0.687,1
"CSNK1G2","CSNK1G2",0.688,1
"MAPK11","MAPK11",0.689,1
"NEK2","NEK2",0.692,1
"TRPA1","TRPA1",0.696,1
"MAPK14","MAPK14",0.698,1
"CDC42BPA","CDC42BPA",0.7,1
"MAPK1","MAPK1",0.703,1
"PRKCA","PRKCA",0.705,1
"NPY1R","NPY1R",0.708,1
"PRKCI","PRKCI",0.711,1
"TGFBR2","TGFBR2",0.711,1
"CYP51A1","CYP51A1",0.715,1
"CSNK1D","CSNK1D",0.717,1
"GAA","GAA",0.718,1
"HSP90AA1","HSP90AA1",0.722,1
"NTRK3","NTRK3",0.722,1
"HIPK2","HIPK2",0.723,1
"FER","FER",0.724,1
"CCNA1","CCNA1",0.726,1
"PRKD1","PRKD1",0.726,1
"ROS1","ROS1",0.728,1
"PRKD2","PRKD2",0.729,1
"PRKCH","PRKCH",0.73,1
"SRPK1","SRPK1",0.73,1
"DNMT1","DNMT1",0.731,1
"NR0B1","NR0B1",0.731,1
"DHCR7","DHCR7",0.732,1
"STK3","STK3",0.735,1
"PLD1","PLD1",0.737,1
"PLD2","PLD2",0.737,1
"PKN2","PKN2",0.739,1
"CCNB1","CCNB1",0.74,1
"GSK3A","GSK3A",0.741,1
"PRKCG","PRKCG",0.743,1
"CCNE2","CCNE2",0.744,1
"KIF11","KIF11",0.745,1
"TERT","TERT",0.748,1
"TBXAS1","TBXAS1",0.75,1
"TOP1","TOP1",0.751,1
"LTK","LTK",0.752,1
"MPI","MPI",0.752,1
"AKT1","AKT1",0.754,1
"PAK4","PAK4",0.762,1
"TRAP1","TRAP1",0.762,1
"AKT3","AKT3",0.766,1
"AURKB","AURKB",0.767,1
"CSNK1A1","CSNK1A1",0.768,1
"PRKCE","PRKCE",0.768,1
"OPRD1","OPRD1",0.769,1
"MAPK3","MAPK3",0.772,1
"STK33","STK33",0.775,1
"SLK","SLK",0.776,1
"LIMK1","LIMK1",0.781,1
"ABL2","ABL2",0.782,1
"CCNE1","CCNE1",0.782,1
"KARS","KARS",0.783,1
"RPS6KA1","RPS6KA1",0.785,1
"MAPK13","MAPK13",0.788,1
"MELK","MELK",0.788,1
"MAP4K4","MAP4K4",0.789,1
"APAF1","APAF1",0.79,1
"SPHK1","SPHK1",0.79,1
"PAK1","PAK1",0.791,1
"SRMS","SRMS",0.792,1
"HIPK4","HIPK4",0.793,1
"ABCG2","ABCG2",0.796,1
"SYK","SYK",0.796,1
"MAPK12","MAPK12",0.798,1
"TACR1","TACR1",0.799,1
"ALK","ALK",0.802,1
"CDC25B","CDC25B",0.803,1
"NCOA1","NCOA1",0.803,1
"CDK6","CDK6",0.804,1
"FLT1","FLT1",0.804,1
"SLCO1B3","SLCO1B3",0.806,1
"SLC10A1","SLC10A1",0.807,1
"RPS6KA3","RPS6KA3",0.809,1
"FKBP4","FKBP4",0.81,1
"PMM2","PMM2",0.81,1
