"","target","p","padj"
"CHEMBL1641347","CHEMBL1641347",0,0
"CHEMBL1743125","CHEMBL1743125",0,0
"CHEMBL1808","CHEMBL1808",0,0
"CHEMBL1821","CHEMBL1821",0,0
"CHEMBL1833","CHEMBL1833",0,0
"CHEMBL1850","CHEMBL1850",0,0
"CHEMBL1856","CHEMBL1856",0,0
"CHEMBL1860","CHEMBL1860",0,0
"CHEMBL1865","CHEMBL1865",0,0
"CHEMBL1867","CHEMBL1867",0,0
"CHEMBL1871","CHEMBL1871",0,0
"CHEMBL1878","CHEMBL1878",0,0
"CHEMBL1886","CHEMBL1886",0,0
"CHEMBL1892","CHEMBL1892",0,0
"CHEMBL1899","CHEMBL1899",0,0
"CHEMBL1907","CHEMBL1907",0,0
"CHEMBL1907604","CHEMBL1907604",0,0
"CHEMBL1907607","CHEMBL1907607",0,0
"CHEMBL1907610","CHEMBL1907610",0,0
"CHEMBL1915","CHEMBL1915",0,0
"CHEMBL1937","CHEMBL1937",0,0
"CHEMBL1943","CHEMBL1943",0,0
"CHEMBL1944","CHEMBL1944",0,0
"CHEMBL1949","CHEMBL1949",0,0
"CHEMBL1951","CHEMBL1951",0,0
"CHEMBL1962","CHEMBL1962",0,0
"CHEMBL1973","CHEMBL1973",0,0
"CHEMBL1978","CHEMBL1978",0,0
"CHEMBL1994","CHEMBL1994",0,0
"CHEMBL2039","CHEMBL2039",0,0
"CHEMBL2046259","CHEMBL2046259",0,0
"CHEMBL205","CHEMBL205",0,0
"CHEMBL206","CHEMBL206",0,0
"CHEMBL2069161","CHEMBL2069161",0,0
"CHEMBL2073670","CHEMBL2073670",0,0
"CHEMBL2073676","CHEMBL2073676",0,0
"CHEMBL2085","CHEMBL2085",0,0
"CHEMBL2093868","CHEMBL2093868",0,0
"CHEMBL2093870","CHEMBL2093870",0,0
"CHEMBL2093871","CHEMBL2093871",0,0
"CHEMBL2093872","CHEMBL2093872",0,0
"CHEMBL2094107","CHEMBL2094107",0,0
"CHEMBL2094111","CHEMBL2094111",0,0
"CHEMBL2094112","CHEMBL2094112",0,0
"CHEMBL2094114","CHEMBL2094114",0,0
"CHEMBL2094116","CHEMBL2094116",0,0
"CHEMBL2094118","CHEMBL2094118",0,0
"CHEMBL2094120","CHEMBL2094120",0,0
"CHEMBL2094121","CHEMBL2094121",0,0
"CHEMBL2094123","CHEMBL2094123",0,0
"CHEMBL2094124","CHEMBL2094124",0,0
"CHEMBL2094130","CHEMBL2094130",0,0
"CHEMBL2094132","CHEMBL2094132",0,0
"CHEMBL2094133","CHEMBL2094133",0,0
"CHEMBL2094134","CHEMBL2094134",0,0
"CHEMBL2094251","CHEMBL2094251",0,0
"CHEMBL2095158","CHEMBL2095158",0,0
"CHEMBL2095159","CHEMBL2095159",0,0
"CHEMBL2095160","CHEMBL2095160",0,0
"CHEMBL2095164","CHEMBL2095164",0,0
"CHEMBL2095166","CHEMBL2095166",0,0
"CHEMBL2095181","CHEMBL2095181",0,0
"CHEMBL2095182","CHEMBL2095182",0,0
"CHEMBL2095192","CHEMBL2095192",0,0
"CHEMBL2095194","CHEMBL2095194",0,0
"CHEMBL2095196","CHEMBL2095196",0,0
"CHEMBL2095203","CHEMBL2095203",0,0
"CHEMBL2095204","CHEMBL2095204",0,0
"CHEMBL2095943","CHEMBL2095943",0,0
"CHEMBL2096","CHEMBL2096",0,0
"CHEMBL2096661","CHEMBL2096661",0,0
"CHEMBL2096664","CHEMBL2096664",0,0
"CHEMBL2096666","CHEMBL2096666",0,0
"CHEMBL2096682","CHEMBL2096682",0,0
"CHEMBL2096684","CHEMBL2096684",0,0
"CHEMBL2096905","CHEMBL2096905",0,0
"CHEMBL210","CHEMBL210",0,0
"CHEMBL2111327","CHEMBL2111327",0,0
"CHEMBL2111339","CHEMBL2111339",0,0
"CHEMBL2111343","CHEMBL2111343",0,0
"CHEMBL2111357","CHEMBL2111357",0,0
"CHEMBL2111464","CHEMBL2111464",0,0
"CHEMBL2111474","CHEMBL2111474",0,0
"CHEMBL2128","CHEMBL2128",0,0
"CHEMBL213","CHEMBL213",0,0
"CHEMBL2136","CHEMBL2136",0,0
"CHEMBL214","CHEMBL214",0,0
"CHEMBL2157","CHEMBL2157",0,0
"CHEMBL217","CHEMBL217",0,0
"CHEMBL2182","CHEMBL2182",0,0
"CHEMBL2186","CHEMBL2186",0,0
"CHEMBL221","CHEMBL221",0,0
"CHEMBL222","CHEMBL222",0,0
"CHEMBL223","CHEMBL223",0,0
"CHEMBL2231","CHEMBL2231",0,0
"CHEMBL2265","CHEMBL2265",0,0
"CHEMBL2273","CHEMBL2273",0,0
"CHEMBL228","CHEMBL228",0,0
"CHEMBL2288","CHEMBL2288",0,0
"CHEMBL229","CHEMBL229",0,0
"CHEMBL2304401","CHEMBL2304401",0,0
"CHEMBL231","CHEMBL231",0,0
"CHEMBL2322","CHEMBL2322",0,0
"CHEMBL2323","CHEMBL2323",0,0
"CHEMBL233","CHEMBL233",0,0
"CHEMBL2334","CHEMBL2334",0,0
"CHEMBL234","CHEMBL234",0,0
"CHEMBL235","CHEMBL235",0,0
"CHEMBL236","CHEMBL236",0,0
"CHEMBL237","CHEMBL237",0,0
"CHEMBL238","CHEMBL238",0,0
"CHEMBL2386","CHEMBL2386",0,0
"CHEMBL239","CHEMBL239",0,0
"CHEMBL2411","CHEMBL2411",0,0
"CHEMBL242","CHEMBL242",0,0
"CHEMBL2452","CHEMBL2452",0,0
"CHEMBL2456","CHEMBL2456",0,0
"CHEMBL246","CHEMBL246",0,0
"CHEMBL2514","CHEMBL2514",0,0
"CHEMBL2568","CHEMBL2568",0,0
"CHEMBL2609","CHEMBL2609",0,0
"CHEMBL2611","CHEMBL2611",0,0
"CHEMBL2625","CHEMBL2625",0,0
"CHEMBL2632","CHEMBL2632",0,0
"CHEMBL264","CHEMBL264",0,0
"CHEMBL265","CHEMBL265",0,0
"CHEMBL266","CHEMBL266",0,0
"CHEMBL2672","CHEMBL2672",0,0
"CHEMBL2676","CHEMBL2676",0,0
"CHEMBL268","CHEMBL268",0,0
"CHEMBL269","CHEMBL269",0,0
"CHEMBL2693","CHEMBL2693",0,0
"CHEMBL270","CHEMBL270",0,0
"CHEMBL2720","CHEMBL2720",0,0
"CHEMBL2724","CHEMBL2724",0,0
"CHEMBL273","CHEMBL273",0,0
"CHEMBL2741","CHEMBL2741",0,0
"CHEMBL2753","CHEMBL2753",0,0
"CHEMBL276","CHEMBL276",0,0
