"","target","p","padj"
"Proton Ionophores","Proton Ionophores",0.000647058823529412,0.146235294117647
"Glucocorticoids","Glucocorticoids",0.00288235294117647,0.648529411764706
"Antiparasitic Agents","Antiparasitic Agents",0.00352941176470588,0.790588235294118
"14-alpha Demethylase Inhibitors","14-alpha Demethylase Inhibitors",0.273117647058824,1
"Abortifacient Agents, Nonsteroidal","Abortifacient Agents, Nonsteroidal",0.611823529411765,1
"Adjuvants, Anesthesia","Adjuvants, Anesthesia",0.933058823529412,1
"Adjuvants, Immunologic","Adjuvants, Immunologic",0.999235294117647,1
"Adrenergic Agents","Adrenergic Agents",0.367058823529412,1
"Adrenergic alpha-1 Receptor Agonists","Adrenergic alpha-1 Receptor Agonists",0.999941176470588,1
"Adrenergic alpha-1 Receptor Antagonists","Adrenergic alpha-1 Receptor Antagonists",0.964176470588235,1
"Adrenergic alpha-2 Receptor Agonists","Adrenergic alpha-2 Receptor Agonists",0.981352941176471,1
"Adrenergic alpha-2 Receptor Antagonists","Adrenergic alpha-2 Receptor Antagonists",0.980705882352941,1
"Adrenergic alpha-Agonists","Adrenergic alpha-Agonists",0.905764705882353,1
"Adrenergic alpha-Antagonists","Adrenergic alpha-Antagonists",0.983058823529412,1
"Adrenergic beta-1 Receptor Agonists","Adrenergic beta-1 Receptor Agonists",0.955764705882353,1
"Adrenergic beta-1 Receptor Antagonists","Adrenergic beta-1 Receptor Antagonists",0.998588235294118,1
"Adrenergic beta-2 Receptor Agonists","Adrenergic beta-2 Receptor Agonists",0.999117647058824,1
"Adrenergic beta-Agonists","Adrenergic beta-Agonists",0.999235294117647,1
"Adrenergic beta-Antagonists","Adrenergic beta-Antagonists",0.998588235294118,1
"Adrenergic Uptake Inhibitors","Adrenergic Uptake Inhibitors",0.997941176470588,1
"Alkylating Agents","Alkylating Agents",0.961588235294118,1
"Amebicides","Amebicides",0.934823529411765,1
"Anabolic Agents","Anabolic Agents",0.254588235294118,1
"Analgesics","Analgesics",0.917882352941176,1
"Analgesics, Non-Narcotic","Analgesics, Non-Narcotic",0.952117647058824,1
"Analgesics, Opioid","Analgesics, Opioid",0.986235294117647,1
"Androgen Antagonists","Androgen Antagonists",0.951294117647059,1
"Androgens","Androgens",0.0828235294117647,1
"Anesthetics, Intravenous","Anesthetics, Intravenous",0.622529411764706,1
"Anesthetics, Local","Anesthetics, Local",0.804470588235294,1
