"","target","p","padj"
"CHEMBL1075134","CHEMBL1075134",0,0
"CHEMBL1075172","CHEMBL1075172",0,0
"CHEMBL1075189","CHEMBL1075189",0,0
"CHEMBL1075228","CHEMBL1075228",0,0
"CHEMBL1163111","CHEMBL1163111",0,0
"CHEMBL1163125","CHEMBL1163125",0,0
"CHEMBL1169599","CHEMBL1169599",0,0
"CHEMBL1293266","CHEMBL1293266",0,0
"CHEMBL1741203","CHEMBL1741203",0,0
"CHEMBL1744525","CHEMBL1744525",0,0
"CHEMBL1795186","CHEMBL1795186",0,0
"CHEMBL1855","CHEMBL1855",0,0
"CHEMBL1859","CHEMBL1859",0,0
"CHEMBL1866","CHEMBL1866",0,0
"CHEMBL1907599","CHEMBL1907599",0,0
"CHEMBL1932898","CHEMBL1932898",0,0
"CHEMBL1945","CHEMBL1945",0,0
"CHEMBL1946","CHEMBL1946",0,0
"CHEMBL1963","CHEMBL1963",0,0
"CHEMBL2002","CHEMBL2002",0,0
"CHEMBL2093869","CHEMBL2093869",0,0
"CHEMBL2094268","CHEMBL2094268",0,0
"CHEMBL2095186","CHEMBL2095186",0,0
"CHEMBL2095216","CHEMBL2095216",0,0
"CHEMBL2096667","CHEMBL2096667",0,0
"CHEMBL2096671","CHEMBL2096671",0,0
"CHEMBL2111369","CHEMBL2111369",0,0
"CHEMBL2111387","CHEMBL2111387",0,0
"CHEMBL2111437","CHEMBL2111437",0,0
"CHEMBL2111456","CHEMBL2111456",0,0
"CHEMBL2111461","CHEMBL2111461",0,0
"CHEMBL2179","CHEMBL2179",0,0
"CHEMBL2203","CHEMBL2203",0,0
"CHEMBL2221345","CHEMBL2221345",0,0
"CHEMBL2409","CHEMBL2409",0,0
"CHEMBL2417347","CHEMBL2417347",0,0
"CHEMBL2417348","CHEMBL2417348",0,0
"CHEMBL244","CHEMBL244",0,0
"CHEMBL2492","CHEMBL2492",0,0
"CHEMBL2528","CHEMBL2528",0,0
"CHEMBL2548","CHEMBL2548",0,0
"CHEMBL2560","CHEMBL2560",0,0
"CHEMBL2569","CHEMBL2569",0,0
"CHEMBL2594","CHEMBL2594",0,0
"CHEMBL274","CHEMBL274",0,0
"CHEMBL280","CHEMBL280",0,0
"CHEMBL283","CHEMBL283",0,0
"CHEMBL2842","CHEMBL2842",0,0
"CHEMBL2888","CHEMBL2888",0,0
"CHEMBL2973","CHEMBL2973",0,0
"CHEMBL298","CHEMBL298",0,0
"CHEMBL3038479","CHEMBL3038479",0,0
"CHEMBL3038488","CHEMBL3038488",0,0
"CHEMBL3038489","CHEMBL3038489",0,0
"CHEMBL3038506","CHEMBL3038506",0,0
"CHEMBL307","CHEMBL307",0,0
"CHEMBL3091266","CHEMBL3091266",0,0
"CHEMBL3190","CHEMBL3190",0,0
"CHEMBL3198","CHEMBL3198",0,0
"CHEMBL321","CHEMBL321",0,0
"CHEMBL3311","CHEMBL3311",0,0
"CHEMBL332","CHEMBL332",0,0
"CHEMBL3322","CHEMBL3322",0,0
"CHEMBL3341584","CHEMBL3341584",0,0
"CHEMBL344","CHEMBL344",0,0
"CHEMBL3465","CHEMBL3465",0,0
"CHEMBL3473","CHEMBL3473",0,0
"CHEMBL3535","CHEMBL3535",0,0
"CHEMBL3544","CHEMBL3544",0,0
"CHEMBL3545","CHEMBL3545",0,0
