"","highExpGenes"
"ENSG00000000003",TRUE
"ENSG00000000005",TRUE
"ENSG00000000419",TRUE
"ENSG00000000457",TRUE
"ENSG00000000460",TRUE
"ENSG00000000938",TRUE
"ENSG00000000971",TRUE
"ENSG00000001036",TRUE
"ENSG00000001084",TRUE
"ENSG00000001167",TRUE
"ENSG00000001460",TRUE
"ENSG00000001461",TRUE
"ENSG00000001497",TRUE
"ENSG00000001561",TRUE
"ENSG00000001617",TRUE
"ENSG00000001626",TRUE
"ENSG00000001629",TRUE
"ENSG00000001630",TRUE
"ENSG00000001631",TRUE
"ENSG00000002016",TRUE
"ENSG00000002079",FALSE
"ENSG00000002330",TRUE
"ENSG00000002549",TRUE
"ENSG00000002586",TRUE
"ENSG00000002587",TRUE
"ENSG00000002726",FALSE
"ENSG00000002745",FALSE
"ENSG00000002746",FALSE
"ENSG00000002822",TRUE
"ENSG00000002834",TRUE
"ENSG00000002919",TRUE
"ENSG00000002933",TRUE
"ENSG00000003056",TRUE
"ENSG00000003096",TRUE
"ENSG00000003137",TRUE
"ENSG00000003147",TRUE
"ENSG00000003249",TRUE
"ENSG00000003393",TRUE
"ENSG00000003400",TRUE
"ENSG00000003402",TRUE
"ENSG00000003436",TRUE
"ENSG00000003509",TRUE
"ENSG00000003756",TRUE
"ENSG00000003987",TRUE
"ENSG00000003989",TRUE
"ENSG00000004059",TRUE
"ENSG00000004139",TRUE
"ENSG00000004142",TRUE
"ENSG00000004399",TRUE
"ENSG00000004455",TRUE
"ENSG00000004468",TRUE
"ENSG00000004478",TRUE
"ENSG00000004487",TRUE
"ENSG00000004534",TRUE
"ENSG00000004660",TRUE
"ENSG00000004700",TRUE
"ENSG00000004766",TRUE
"ENSG00000004776",TRUE
"ENSG00000004777",TRUE
"ENSG00000004779",TRUE
"ENSG00000004799",TRUE
"ENSG00000004809",FALSE
"ENSG00000004838",TRUE
"ENSG00000004846",TRUE
"ENSG00000004848",FALSE
"ENSG00000004864",TRUE
"ENSG00000004866",TRUE
"ENSG00000004897",TRUE
"ENSG00000004939",FALSE
"ENSG00000004948",FALSE
"ENSG00000004961",TRUE
"ENSG00000004975",TRUE
"ENSG00000005001",TRUE
"ENSG00000005007",TRUE
"ENSG00000005020",TRUE
"ENSG00000005022",TRUE
"ENSG00000005059",TRUE
"ENSG00000005073",TRUE
"ENSG00000005075",TRUE
"ENSG00000005100",TRUE
"ENSG00000005102",TRUE
"ENSG00000005108",TRUE
"ENSG00000005156",TRUE
"ENSG00000005175",TRUE
"ENSG00000005187",TRUE
"ENSG00000005189",TRUE
"ENSG00000005194",TRUE
"ENSG00000005206",TRUE
"ENSG00000005238",TRUE
"ENSG00000005243",TRUE
"ENSG00000005249",TRUE
"ENSG00000005302",TRUE
"ENSG00000005339",TRUE
"ENSG00000005379",TRUE
"ENSG00000005381",FALSE
"ENSG00000005421",FALSE
"ENSG00000005436",TRUE
"ENSG00000005448",TRUE
"ENSG00000005469",TRUE
"ENSG00000005471",TRUE
"ENSG00000005483",TRUE
"ENSG00000005486",TRUE
"ENSG00000005513",TRUE
"ENSG00000005700",TRUE
"ENSG00000005801",TRUE
"ENSG00000005810",TRUE
"ENSG00000005812",TRUE
"ENSG00000005844",TRUE
"ENSG00000005882",TRUE
"ENSG00000005884",TRUE
"ENSG00000005889",TRUE
"ENSG00000005893",TRUE
"ENSG00000005961",TRUE
"ENSG00000005981",FALSE
"ENSG00000006007",TRUE
"ENSG00000006015",TRUE
"ENSG00000006016",TRUE
"ENSG00000006025",TRUE
"ENSG00000006042",TRUE
"ENSG00000006047",TRUE
"ENSG00000006059",FALSE
"ENSG00000006062",TRUE
"ENSG00000006071",TRUE
"ENSG00000006116",FALSE
"ENSG00000006118",TRUE
"ENSG00000006125",TRUE
"ENSG00000006128",TRUE
"ENSG00000006194",TRUE
"ENSG00000006210",TRUE
"ENSG00000006282",TRUE
"ENSG00000006283",TRUE
"ENSG00000006327",TRUE
"ENSG00000006377",FALSE
"ENSG00000006432",TRUE
"ENSG00000006451",TRUE
"ENSG00000006453",TRUE
"ENSG00000006459",TRUE
"ENSG00000006468",TRUE
"ENSG00000006530",TRUE
"ENSG00000006534",TRUE
"ENSG00000006555",TRUE
"ENSG00000006576",TRUE
"ENSG00000006606",FALSE
"ENSG00000006607",TRUE
"ENSG00000006611",FALSE
"ENSG00000006625",TRUE
"ENSG00000006634",TRUE
"ENSG00000006638",TRUE
