"","pert_iname","mean","n","median","sd","sRGES"
"1","BRD-K88756517",-0.625275983944634,1,-0.625275983944634,NA,-0.625275983944634
"2","BRD-K07660364",-0.615911606996028,1,-0.615911606996028,NA,-0.615911606996028
"3","BRD-K78824440",-0.61483717446939,1,-0.61483717446939,NA,-0.61483717446939
"4","BRD-K81721884",-0.604595438167036,1,-0.604595438167036,NA,-0.604595438167036
"5","BRD-K58189273",-0.599438711491652,1,-0.599438711491652,NA,-0.599438711491652
"6","BRD-K18327813",-0.598543274165561,1,-0.598543274165561,NA,-0.598543274165561
"7","BRD-K72561299",-0.586488394685859,2,-0.586488394685859,0.00680888667941342,-0.586488394685859
"8","BRD-K56647759",-0.580867187136159,1,-0.580867187136159,NA,-0.580867187136159
"9","BRD-K59995645",-0.58066874777054,1,-0.58066874777054,NA,-0.58066874777054
"10","BRD-K62014585",-0.576690379331674,1,-0.576690379331674,NA,-0.576690379331674
"11","BRD-K34392222",-0.572844122333451,1,-0.572844122333451,NA,-0.572844122333451
"12","BRD-K81131579",-0.5708370403717,1,-0.5708370403717,NA,-0.5708370403717
"13","BRD-K09407750",-0.569284524363788,1,-0.569284524363788,NA,-0.569284524363788
"14","BRD-K03804563",-0.569202054284335,1,-0.569202054284335,NA,-0.569202054284335
"15","BRD-K72051249",-0.565647795006451,1,-0.565647795006451,NA,-0.565647795006451
"16","BRD-K80012633",-0.565571334107228,1,-0.565571334107228,NA,-0.565571334107228
"17","BRD-K37777176",-0.564334978619714,1,-0.564334978619714,NA,-0.564334978619714
"18","BRD-K37058154",-0.563874353053989,1,-0.563874353053989,NA,-0.563874353053989
"19","BRD-K78483792",-0.563796215933638,1,-0.563796215933638,NA,-0.563796215933638
"20","BRD-K75717096",-0.559856451012352,1,-0.559856451012352,NA,-0.559856451012352
"21","BRD-K00636532",-0.559723023810635,1,-0.559723023810635,NA,-0.559723023810635
"22","BRD-K93406741",-0.558466167993714,1,-0.558466167993714,NA,-0.558466167993714
"23","BRD-K49623506",-0.557860381678383,1,-0.557860381678383,NA,-0.557860381678383
"24","BRD-K07686903",-0.557348128501944,1,-0.557348128501944,NA,-0.557348128501944
"25","BRD-K31248348",-0.553984983648377,1,-0.553984983648377,NA,-0.553984983648377
"26","BRD-K64285892",-0.553175033599767,1,-0.553175033599767,NA,-0.553175033599767
