"log2FoldChange","logCPM","LR","pvalue","padj","identifier","gene","chrom","strand","Symbol"
-1.75824621048454,-0.426044762548919,81.6501733111965,1.6243756743656e-19,1.51131912742976e-15,"ENSG00000254527","ENPP7P12","chr8","-","ENPP7P12"
1.20508298550682,9.18107003612943,105.425901762895,9.85137106925064e-25,9.39426745163741e-21,"ENSG00000074964","ARHGEF10L","chr1","+","ARHGEF10L"
-1.14811938380484,0.0456565374102827,60.9509766115441,5.8513898665766e-15,5.29316727330519e-11,"ENSG00000215388","ACTG1P3","chr20","+","ACTG1P3"
1.04571476180436,10.151242432099,183.086469294243,1.0269510672012e-41,1.01206027672678e-37,"ENSG00000130726","TRIM28","chr19","+","TRIM28"
-3.30034099227527,0.652861993373776,75.4340010336273,3.77827354551873e-18,3.49339172018661e-14,"ENSG00000223609","HBD","chr11","-","HBD"
-1.74338594242236,0.891936739285454,43.6787557837951,3.86949477823536e-11,3.34982162951835e-07,"ENSG00000169894","MUC3A","chr7","+","MUC3A"
1.45641580388116,7.75441556447212,47.7947414379749,4.73259710443616e-12,4.14717484261741e-08,"ENSG00000095970","TREM2","chr6","-","TREM2"
1.15630788001905,6.99501768556087,294.115375433615,6.30775234025269e-66,6.28630598229583e-62,"ENSG00000182197","EXT1","chr8","-","EXT1"
-1.66314148703047,-1.40433849742105,34.3335034923085,4.64319367582813e-09,3.87892399678682e-05,"ENSG00000273580","RP11-609L3.2","chr7","+","RP11-609L3.2"
-2.32679799657553,2.89332931974995,73.4626590191667,1.02558129919692e-17,9.45996190379235e-14,"ENSG00000156463","SH3RF2","chr5","+","SH3RF2"
-4.42034548108905,2.66911044464274,215.59338703956,8.27221107623275e-49,8.19610673433141e-45,"ENSG00000189127","ANKRD34B","chr5","-","ANKRD34B"
-1.429378871157,2.14733983927597,62.8428937758859,2.23869882306469e-15,2.03072370240198e-11,"ENSG00000105219","CNTD2","chr19","-","CNTD2"
-2.26407510844033,-1.84065185350885,40.849231134717,1.64437938926878e-10,1.40824650896978e-06,"ENSG00000249505","RP11-434H6.2","chr3","+","RP11-434H6.2"
-1.15435435972965,0.109169827171372,42.7001945129315,6.3805944354399e-11,5.49815822501857e-07,"ENSG00000235475","LINC01372","chr7","+","LINC01372"
-1.90249153026327,0.562883537438907,99.2167652483733,2.26322975280047e-23,2.14803135838293e-19,"ENSG00000273319","RP11-138A9.2","chr7","+","RP11-138A9.2"
-3.8969226533678,4.78700888077213,317.26942618615,5.69753742679076e-71,5.68671210567986e-67,"ENSG00000280334","RP11-361L15.5","chr16","-","RP11-361L15.5"
-1.37014593948531,-0.95778882022102,43.2536527115558,4.80839237987506e-11,4.15300849849809e-07,"ENSG00000227788","AC012363.8","chr2","+","AC012363.8"
-1.37005069541474,1.39247985896438,111.120741729176,5.56744535522039e-26,5.33416939483665e-22,"ENSG00000271757","RP11-111M22.5","chr11","+","RP11-111M22.5"
-1.34622256975863,4.00262989695956,70.4864347250349,4.63442316198587e-17,4.25393702038683e-13,"ENSG00000148935","GAS2","chr11","+","GAS2"
-1.80827140948234,-0.952606112488478,47.4184483859398,5.73404899804252e-12,5.0167194683874e-08,"ENSG00000231964","RP11-67C2.2","chr10","-","RP11-67C2.2"
1.34753531176003,1.36452414437651,52.1494395387289,5.14335295979744e-13,4.56729742830012e-09,"ENSG00000230992","FAM201B","chr2","+","FAM201B"
